Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-06 15:01:35.604,0 days 01:14:22.595000,0 days 00:00:00.010000,11295,260,6,99,False,8,car,0.8480555555555522,0.0001497907198442524,-1742,1228,1963,car,0 days 01:14:22.595000
2024-07-06 15:01:35.764,0 days 01:14:22.755000,0 days 00:00:00.170000,10564,263,6,99,False,8,car,12.536944444444442,0.002214380792247189,-1653,1343,1964,car,0 days 01:14:22.755000
2024-07-06 15:01:36.084,0 days 01:14:23.075000,0 days 00:00:00.490000,10656,267,7,99,False,8,car,36.27027777777777,0.00640636215598547,-1514,1519,1965,car,0 days 01:14:23.075000
2024-07-06 15:01:36.404,0 days 01:14:23.395000,0 days 00:00:00.810000,10702,268,7,99,False,8,car,60.0925,0.010614043824456855,-1365,1711,1967,car,0 days 01:14:23.395000
2024-07-06 15:01:36.724,0 days 01:14:23.715000,0 days 00:00:01.130000,10761,270,7,99,False,8,car,84.09249999999999,0.014853126102394441,-1168,1978,1970,car,0 days 01:14:23.715000
2024-07-06 15:01:36.884,0 days 01:14:23.875000,0 days 00:00:01.290000,10789,271,7,99,False,8,car,96.13694444444444,0.016980517393729785,-1123,2039,1971,car,0 days 01:14:23.875000
2024-07-06 15:01:37.084,0 days 01:14:24.075000,0 days 00:00:01.490000,10822,272,7,99,False,8,car,111.24805555555555,0.01964956919835716,-1071,2112,1972,car,0 days 01:14:24.075000
2024-07-06 15:01:37.364,0 days 01:14:24.355000,0 days 00:00:01.770000,10886,273,7,99,False,8,car,132.4813888888889,0.02339997949147694,-946,2284,1975,car,0 days 01:14:24.355000
2024-07-06 15:01:37.724,0 days 01:14:24.715000,0 days 00:00:02.130000,10953,275,7,99,False,8,car,159.9813888888889,0.028257261268280428,-785,2505,1978,car,0 days 01:14:24.715000
2024-07-06 15:01:38.004,0 days 01:14:24.995000,0 days 00:00:02.410000,11041,276,7,99,False,8,car,181.44805555555558,0.03204888486132461,-664,2673,1981,car,0 days 01:14:24.995000
2024-07-06 15:01:38.363,0 days 01:14:25.354000,0 days 00:00:02.769000,11045,277,7,99,False,8,car,209.07111111111112,0.03692790174749298,-472,2951,1986,car,0 days 01:14:25.354000
