Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:15:28.375000,PIA,,1.0,1.0,0 days 00:13:19.407000,,,0 days 00:00:44.731000,0 days 00:00:50.856000,,0 days 00:14:37.570000,0 days 00:15:28.375000,242.0,196.0,266.0,310.0,False,SOFT,4.0,False,0 days 00:13:19.407000,2024-04-20 07:02:23.411,,False
0 days 00:17:13.233000,PIA,0 days 00:01:44.858000,2.0,1.0,,0 days 00:17:11.423000,0 days 00:00:25.821000,0 days 00:00:29.231000,0 days 00:00:49.806000,0 days 00:15:54.196000,0 days 00:16:23.427000,0 days 00:17:13.233000,271.0,269.0,,326.0,False,SOFT,5.0,False,0 days 00:15:28.375000,2024-04-20 07:04:32.379,,False
0 days 00:19:51.570000,PIA,,3.0,2.0,0 days 00:17:48.763000,,0 days 00:01:08.960000,0 days 00:00:37.109000,0 days 00:00:52.335000,0 days 00:18:22.163000,0 days 00:18:59.240000,0 days 00:19:51.808000,238.0,233.0,268.0,311.0,False,SOFT,1.0,True,0 days 00:17:13.233000,2024-04-20 07:06:17.237,,False
0 days 00:21:26.584000,PIA,0 days 00:01:35.014000,4.0,2.0,,,0 days 00:00:25.176000,0 days 00:00:28.553000,0 days 00:00:41.285000,0 days 00:20:16.746000,0 days 00:20:45.299000,0 days 00:21:26.584000,272.0,271.0,265.0,328.0,True,SOFT,2.0,True,0 days 00:19:51.570000,2024-04-20 07:08:55.574,,False
0 days 00:23:25.043000,PIA,0 days 00:01:58.459000,5.0,2.0,,0 days 00:23:23.366000,0 days 00:00:31.516000,0 days 00:00:35.144000,0 days 00:00:51.799000,0 days 00:21:58.100000,0 days 00:22:33.244000,0 days 00:23:25.043000,221.0,245.0,,306.0,False,SOFT,3.0,True,0 days 00:21:26.584000,2024-04-20 07:10:30.588,,False
0 days 00:41:25.717000,PIA,,6.0,3.0,0 days 00:39:16.635000,,,0 days 00:00:38.315000,0 days 00:00:52.758000,,0 days 00:40:32.989000,0 days 00:41:25.773000,253.0,236.0,269.0,312.0,False,SOFT,1.0,True,0 days 00:23:25.043000,2024-04-20 07:12:29.047,,False
0 days 00:43:00.376000,PIA,0 days 00:01:34.659000,7.0,3.0,,,0 days 00:00:24.996000,0 days 00:00:28.374000,0 days 00:00:41.289000,0 days 00:41:50.713000,0 days 00:42:19.087000,0 days 00:43:00.376000,275.0,273.0,266.0,328.0,True,SOFT,2.0,True,0 days 00:41:25.717000,2024-04-20 07:30:29.721,,False
0 days 01:00:06.767000,PIA,,8.0,3.0,,0 days 00:45:12.074000,0 days 00:00:29.666000,0 days 00:00:32.112000,,0 days 00:43:30.073000,0 days 00:44:02.160000,,250.0,246.0,,,False,SOFT,3.0,True,0 days 00:43:00.376000,2024-04-20 07:32:04.380,,False
0 days 01:02:17.793000,PIA,,9.0,4.0,0 days 01:00:06.767000,,,0 days 00:00:35.740000,0 days 00:00:53.443000,,0 days 01:01:24.350000,0 days 01:02:18.048000,252.0,245.0,269.0,309.0,False,SOFT,1.0,True,0 days 01:00:06.767000,2024-04-20 07:49:10.771,,False
0 days 01:04:08.158000,PIA,0 days 00:01:50.365000,10.0,4.0,,0 days 01:04:06.452000,0 days 00:00:25.206000,0 days 00:00:28.601000,0 days 00:00:56.558000,0 days 01:02:42.999000,0 days 01:03:11.600000,0 days 01:04:08.158000,276.0,272.0,,245.0,False,SOFT,2.0,True,0 days 01:02:17.793000,2024-04-20 07:51:21.797,,False
0 days 01:13:56.816000,PIA,,11.0,5.0,0 days 01:11:45.662000,,,0 days 00:00:39.261000,0 days 00:00:53.121000,,0 days 01:13:03.774000,0 days 01:13:56.908000,250.0,233.0,270.0,299.0,False,SOFT,1.0,True,0 days 01:04:08.158000,2024-04-20 07:53:12.162,,False
0 days 01:15:31.407000,PIA,0 days 00:01:34.591000,12.0,5.0,,,0 days 00:00:25.138000,0 days 00:00:28.391000,0 days 00:00:41.062000,0 days 01:14:21.954000,0 days 01:14:50.345000,0 days 01:15:31.407000,277.0,273.0,263.0,326.0,True,SOFT,2.0,True,0 days 01:13:56.816000,2024-04-20 08:03:00.820,,False
0 days 01:17:37.255000,PIA,0 days 00:02:05.848000,13.0,5.0,,0 days 01:17:35.485000,0 days 00:00:31.264000,0 days 00:00:34.549000,0 days 00:01:00.035000,0 days 01:16:02.671000,0 days 01:16:37.220000,0 days 01:17:37.255000,238.0,238.0,,207.0,False,SOFT,3.0,True,0 days 01:15:31.407000,2024-04-20 08:04:35.411,,False
0 days 01:21:40.305000,PIA,,14.0,6.0,0 days 01:19:30.185000,,,0 days 00:00:38.200000,0 days 00:00:51.104000,,0 days 01:20:49.319000,0 days 01:21:40.497000,246.0,234.0,271.0,309.0,False,SOFT,1.0,True,0 days 01:17:37.255000,2024-04-20 08:06:41.259,,False
