Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-04-21 08:03:14.329,0 days 01:54:55.656000,0 days 00:00:00.232000,10680,268,7,99,False,1,car,17.337777777777774,0.003203159969450512,5.5777423359017675,-1507.4497139591917,140.04199831915375,car,0 days 01:54:55.656000
2024-04-21 08:03:14.489,0 days 01:54:55.816000,0 days 00:00:00.392000,10741,269,7,99,False,1,car,29.29333333333333,0.005411952668200033,-104.76615516442101,-1536.8790285240643,139.886487923799,car,0 days 01:54:55.816000
2024-04-21 08:03:14.649,0 days 01:54:55.976000,0 days 00:00:00.552000,10847,272,7,99,False,1,car,41.382222222222225,0.00764537874277204,-217.24936576606243,-1565.0439210291786,138.98981662760534,car,0 days 01:54:55.976000
2024-04-21 08:03:14.889,0 days 01:54:56.216000,0 days 00:00:00.792000,11072,274,7,99,False,1,car,59.64888888888889,0.011020151230452534,-388.9075670510394,-1606.5506275593502,139.9600124481048,car,0 days 01:54:56.216000
2024-04-21 08:03:15.049,0 days 01:54:56.376000,0 days 00:00:00.952000,11064,275,7,99,False,1,car,71.8711111111111,0.013278210680847023,-504.6378272998762,-1634.7781889902715,140.03540030901863,car,0 days 01:54:56.376000
2024-04-21 08:03:15.209,0 days 01:54:56.536000,0 days 00:00:01.112000,11071,277,7,99,False,1,car,84.18222222222222,0.01555269238178984,-620.3234391262264,-1662.1814938780033,139.97178755392034,car,0 days 01:54:56.536000
2024-04-21 08:03:15.409,0 days 01:54:56.736000,0 days 00:00:01.312000,11168,279,7,99,False,1,car,99.68222222222222,0.018416322321153762,-766.1916438231726,-1698.0326128589263,140.11475123696218,car,0 days 01:54:56.736000
2024-04-21 08:03:15.769,0 days 01:54:57.096000,0 days 00:00:01.672000,11286,283,7,99,False,1,car,127.98222222222222,0.02364475633947628,-1033.0235189600266,-1763.80124686812,138.6948175536873,car,0 days 01:54:57.096000
2024-04-21 08:03:16.169,0 days 01:54:57.496000,0 days 00:00:02.072000,11410,286,7,99,False,1,car,159.76000000000002,0.02951571091050196,-1331.2465189361549,-1837.2927967580217,138.9992871943536,car,0 days 01:54:57.496000
2024-04-21 08:03:16.329,0 days 01:54:57.656000,0 days 00:00:02.232000,11491,288,7,99,False,1,car,172.56000000000003,0.031880514989460554,-1451.2752162086053,-1866.9087654213108,138.99926505545434,car,0 days 01:54:57.656000
2024-04-21 08:03:16.569,0 days 01:54:57.896000,0 days 00:00:02.472000,11528,289,7,99,False,1,car,191.82666666666668,0.03544003779580969,-1633.3255894930412,-1912.3021492954501,138.99885056066285,car,0 days 01:54:57.896000
2024-04-21 08:03:16.769,0 days 01:54:58.096000,0 days 00:00:02.672000,11605,291,7,99,False,1,car,207.99333333333337,0.03842683461428604,-1787.0978198047071,-1951.2989971583033,138.98344586131836,car,0 days 01:54:58.096000
2024-04-21 08:03:16.969,0 days 01:54:58.296000,0 days 00:00:02.872000,11652,292,7,99,False,1,car,224.21555555555557,0.04142389533935509,-1943.6145606388882,-1989.879624891909,138.8480877337719,car,0 days 01:54:58.296000
2024-04-21 08:03:17.169,0 days 01:54:58.496000,0 days 00:00:03.072000,11654,293,7,99,False,1,car,240.49333333333337,0.04443121997101685,-2083.4336783121557,-2023.9690284970573,139.86943444238486,car,0 days 01:54:58.496000
2024-04-21 08:03:17.329,0 days 01:54:58.656000,0 days 00:00:03.232000,10674,294,7,99,False,1,car,253.56000000000006,0.04684529080162042,-2307.50230436969,-2079.648927396346,140.02788651802996,car,0 days 01:54:58.656000
2024-04-21 08:03:17.489,0 days 01:54:58.816000,0 days 00:00:03.392000,10404,295,8,99,False,1,car,266.67111111111114,0.04926757275749814,-2463.752279934704,-2118.717933096743,139.94391703094922,car,0 days 01:54:58.816000
2024-04-21 08:03:17.689,0 days 01:54:59.016000,0 days 00:00:03.592000,10456,296,8,99,False,1,car,283.1155555555556,0.052305689108938,-2509.252676582256,-2130.133378914971,139.9780191001821,car,0 days 01:54:59.016000
2024-04-21 08:03:17.969,0 days 01:54:59.296000,0 days 00:00:03.872000,10490,298,8,99,False,1,car,306.29333333333335,0.05658779093941337,-2793.7738972465777,-2198.103815314875,140.01274994508594,car,0 days 01:54:59.296000
2024-04-21 08:03:18.129,0 days 01:54:59.456000,0 days 00:00:04.032000,10560,299,8,99,False,1,car,319.58222222222224,0.05904291739638774,-2970.100253649952,-2240.682264062663,139.9414276772314,car,0 days 01:54:59.456000
2024-04-21 08:03:18.448,0 days 01:54:59.775000,0 days 00:00:04.351000,10600,300,8,99,False,1,car,346.16555555555556,0.06395419670099575,-3211.68054542865,-2300.6306592024944,140.0681480818067,car,0 days 01:54:59.775000
2024-04-21 08:03:18.808,0 days 01:55:00.135000,0 days 00:00:04.711000,10703,302,8,99,False,1,car,376.3655555555556,0.0695336563247887,-3475.4621050668566,-2365.1107867986807,141.188658251388,car,0 days 01:55:00.135000
2024-04-21 08:03:19.048,0 days 01:55:00.375000,0 days 00:00:04.951000,10735,304,8,99,False,1,car,396.6322222222222,0.07327792944980646,-3728.932063557394,-2426.3604599741825,140.08460168026792,car,0 days 01:55:00.375000
2024-04-21 08:03:19.208,0 days 01:55:00.535000,0 days 00:00:05.111000,10760,304,8,99,False,1,car,410.1433333333333,0.07577411153315165,-3859.1634767984515,-2457.5904138376936,139.35487373089325,car,0 days 01:55:00.535000
2024-04-21 08:03:19.368,0 days 01:55:00.695000,0 days 00:00:05.271000,10603,304,8,11,False,1,car,423.65444444444444,0.07827029361649683,-3935.3550287610724,-2474.997359142131,139.0511425095498,car,0 days 01:55:00.695000
2024-04-21 08:03:19.648,0 days 01:55:00.975000,0 days 00:00:05.551000,10555,293,8,0,True,1,car,446.4433333333333,0.08248054810082328,-4136.4076405326805,-2517.470145682527,139.00486337420776,car,0 days 01:55:00.975000
2024-04-21 08:03:19.809,0 days 01:55:01.136000,0 days 00:00:05.712000,11115,285,8,0,True,1,car,459.1891666666666,0.084835344870854,-4283.411950186736,-2541.3354631463153,139.04045239819274,car,0 days 01:55:01.136000
2024-04-21 08:03:19.969,0 days 01:55:01.296000,0 days 00:00:05.872000,10618,272,8,0,True,1,car,471.2780555555555,0.08706877094542599,-4395.358634834923,-2555.437699833644,139.86711582105636,car,0 days 01:55:01.296000
2024-04-21 08:03:20.169,0 days 01:55:01.496000,0 days 00:00:06.072000,11716,261,7,0,True,1,car,485.7780555555555,0.08974765056612127,-4561.97098221657,-2559.024502965628,142.9378229213532,car,0 days 01:55:01.496000
2024-04-21 08:03:20.409,0 days 01:55:01.736000,0 days 00:00:06.312000,11194,249,6,0,True,1,car,502.37805555555553,0.0928145058560207,-4729.705591942491,-2550.9512238565826,146.2993102446062,car,0 days 01:55:01.736000
2024-04-21 08:03:20.569,0 days 01:55:01.896000,0 days 00:00:06.472000,10726,240,6,0,True,1,car,513.0447222222222,0.09478517592181954,-4796.273517789719,-2538.5478431346005,147.7906588012104,car,0 days 01:55:01.896000
2024-04-21 08:03:20.809,0 days 01:55:02.136000,0 days 00:00:06.712000,11912,231,6,0,True,1,car,528.4447222222221,0.09763033082931659,-4941.0868483961485,-2499.73473433953,153.16147386690454,car,0 days 01:55:02.136000
2024-04-21 08:03:21.129,0 days 01:55:02.456000,0 days 00:00:07.032000,11034,214,5,0,True,1,car,547.4669444444444,0.10114469244665783,-5141.384837033315,-2407.63133354826,161.10752506030545,car,0 days 01:55:02.456000
2024-04-21 08:03:21.289,0 days 01:55:02.616000,0 days 00:00:07.192000,10893,211,5,0,True,1,car,556.8447222222221,0.10287723987950596,-5261.510914421771,-2331.138475396664,165.718522309041,car,0 days 01:55:02.616000
2024-04-21 08:03:21.529,0 days 01:55:02.856000,0 days 00:00:07.432000,10795,205,5,0,True,1,car,570.5113888888887,0.1054021609013107,-5348.455846525001,-2260.0058774435047,168.94402529281837,car,0 days 01:55:02.856000
2024-04-21 08:03:21.769,0 days 01:55:03.096000,0 days 00:00:07.672000,11425,193,4,0,True,1,car,583.3780555555554,0.10777928166818054,-5423.675359191353,-2175.094325105324,173.58767560645265,car,0 days 01:55:03.096000
2024-04-21 08:03:21.929,0 days 01:55:03.256000,0 days 00:00:07.832000,10943,186,4,0,True,1,car,591.6447222222221,0.10930655096917463,-5477.169644951961,-2105.1372167722284,176.72234532222598,car,0 days 01:55:03.256000
2024-04-21 08:03:22.129,0 days 01:55:03.456000,0 days 00:00:08.032000,10600,179,4,0,True,1,car,601.5891666666665,0.11114379024926833,-5527.399604599863,-2019.3322652280335,177.88317365347538,car,0 days 01:55:03.456000
2024-04-21 08:03:22.369,0 days 01:55:03.696000,0 days 00:00:08.272000,10294,177,4,0,True,1,car,613.3891666666665,0.11332384400955828,-5576.4084341757825,-1914.839673918075,182.4061771809114,car,0 days 01:55:03.696000
2024-04-21 08:03:22.529,0 days 01:55:03.856000,0 days 00:00:08.432000,10304,166,4,0,True,1,car,620.7669444444442,0.11468689080506914,-5598.815960292467,-1846.0334508728463,184.39510906858143,car,0 days 01:55:03.856000
2024-04-21 08:03:22.969,0 days 01:55:04.296000,0 days 00:00:08.872000,10975,157,3,0,False,1,car,639.9558333333331,0.11823204414218848,-5628.718366005789,-1652.1904441745266,189.49780176163117,car,0 days 01:55:04.296000
2024-04-21 08:03:23.409,0 days 01:55:04.736000,0 days 00:00:09.312000,10649,149,3,16,False,1,car,658.1669444444442,0.12159655272327627,-5612.504300345832,-1467.4280363796865,195.42282420682952,car,0 days 01:55:04.736000
2024-04-21 08:03:23.569,0 days 01:55:04.896000,0 days 00:00:09.472000,10593,148,3,18,False,1,car,664.744722222222,0.12281179926385222,-5595.53695554593,-1400.140546782243,197.8077067812727,car,0 days 01:55:04.896000
2024-04-21 08:03:23.809,0 days 01:55:05.136000,0 days 00:00:09.712000,10441,147,3,5,True,1,car,674.5447222222219,0.12462235238680489,-5565.028641576693,-1318.693057974453,200.73861551764873,car,0 days 01:55:05.136000
2024-04-21 08:03:24.249,0 days 01:55:05.576000,0 days 00:00:10.152000,9547,136,3,0,True,1,car,691.1669444444441,0.12769331323934138,-5476.849091733493,-1172.4355593923055,205.94976061633986,car,0 days 01:55:05.576000
2024-04-21 08:03:24.569,0 days 01:55:05.896000,0 days 00:00:10.472000,8913,128,3,0,True,1,car,702.5447222222218,0.1297953613095268,-5396.74606049388,-1091.617197564989,208.2338086271326,car,0 days 01:55:05.896000
2024-04-21 08:03:24.849,0 days 01:55:06.176000,0 days 00:00:10.752000,8324,120,3,0,True,1,car,711.8780555555552,0.13151969761710078,-5319.1125800456375,-1038.0744943699003,209.43445918731794,car,0 days 01:55:06.176000
2024-04-21 08:03:25.048,0 days 01:55:06.375000,0 days 00:00:10.951000,8103,115,3,0,True,1,car,718.2349999999997,0.13269414512897074,-5261.531668953445,-1011.4201213338752,210.00610260545483,car,0 days 01:55:06.375000
2024-04-21 08:03:25.488,0 days 01:55:06.815000,0 days 00:00:11.391000,7507,108,3,0,True,1,car,731.4349999999996,0.13513284933539677,-5128.6344413387815,-981.3318368996395,209.89264344515385,car,0 days 01:55:06.815000
2024-04-21 08:03:25.848,0 days 01:55:07.175000,0 days 00:00:11.751000,8724,101,2,3,False,1,car,741.5349999999996,0.13699882755395004,-5009.805000338629,-987.7126627906771,208.26802330871467,car,0 days 01:55:07.175000
2024-04-21 08:03:26.008,0 days 01:55:07.335000,0 days 00:00:11.911000,8919,100,2,9,False,1,car,745.9794444444441,0.13781994008136622,-4990.895025424952,-995.4182467698174,208.00340966140433,car,0 days 01:55:07.335000
2024-04-21 08:03:26.288,0 days 01:55:07.615000,0 days 00:00:12.191000,8619,99,2,4,False,1,car,753.6794444444441,0.13924251753511474,-4922.134794420746,-1023.7786484270309,207.25889149645207,car,0 days 01:55:07.615000
2024-04-21 08:03:26.649,0 days 01:55:07.976000,0 days 00:00:12.552000,8361,96,2,4,False,1,car,763.3061111111108,0.14102104726949818,-4844.012482028991,-1082.0527804393414,203.94665281424872,car,0 days 01:55:07.976000
2024-04-21 08:03:27.049,0 days 01:55:08.376000,0 days 00:00:12.952000,8545,95,2,13,False,1,car,773.8616666666663,0.14297118952211163,-4810.331756230806,-1121.8610987405855,202.2442203549895,car,0 days 01:55:08.376000
2024-04-21 08:03:27.329,0 days 01:55:08.656000,0 days 00:00:13.232000,8181,95,2,0,False,1,car,781.2505555555553,0.14433628909894103,-4777.918716637232,-1172.3167300249634,199.22717704114604,car,0 days 01:55:08.656000
2024-04-21 08:03:27.609,0 days 01:55:08.936000,0 days 00:00:13.512000,7850,91,2,0,False,1,car,788.328333333333,0.14564391079885128,-4745.384739864011,-1263.20229003485,193.96013155561852,car,0 days 01:55:08.936000
2024-04-21 08:03:27.769,0 days 01:55:09.096000,0 days 00:00:13.672000,7702,89,2,0,False,1,car,792.2838888888886,0.14637470094825167,-4735.474331958995,-1298.0149438380556,192.29853530607483,car,0 days 01:55:09.096000
2024-04-21 08:03:28.089,0 days 01:55:09.416000,0 days 00:00:13.992000,7496,87,2,5,False,1,car,800.0172222222219,0.14780343674595584,-4732.980018931678,-1339.265508075673,190.39994209317626,car,0 days 01:55:09.416000
2024-04-21 08:03:28.329,0 days 01:55:09.656000,0 days 00:00:14.232000,7974,87,2,24,False,1,car,805.8172222222219,0.14887498859423393,-4739.282314328819,-1432.0740092429392,182.7428526820196,car,0 days 01:55:09.656000
2024-04-21 08:03:28.489,0 days 01:55:09.816000,0 days 00:00:14.392000,8065,88,2,24,False,1,car,809.728333333333,0.14959756761836018,-4743.18587518898,-1457.7897620775477,180.6656546825702,car,0 days 01:55:09.816000
2024-04-21 08:03:28.649,0 days 01:55:09.976000,0 days 00:00:14.552000,8626,92,2,38,False,1,car,813.8172222222219,0.15035299114358305,-4748.446392646721,-1476.7197079831483,179.1833392979472,car,0 days 01:55:09.976000
2024-04-21 08:03:28.849,0 days 01:55:10.176000,0 days 00:00:14.752000,8970,96,2,42,False,1,car,819.1505555555552,0.1513383261764825,-4758.937311938225,-1523.6192428076345,175.3689429216892,car,0 days 01:55:10.176000
2024-04-21 08:03:29.089,0 days 01:55:10.416000,0 days 00:00:14.992000,7810,102,2,43,False,1,car,825.9505555555552,0.1525946283434292,-4770.719992904881,-1586.5525305927008,170.62225655457692,car,0 days 01:55:10.416000
2024-04-21 08:03:29.329,0 days 01:55:10.656000,0 days 00:00:15.232000,7333,106,3,7,False,1,car,833.0172222222218,0.15390019726202095,-4775.950347588552,-1652.2949839860942,165.85094259636907,car,0 days 01:55:10.656000
2024-04-21 08:03:29.529,0 days 01:55:10.856000,0 days 00:00:15.432000,7336,104,3,0,False,1,car,838.7949999999996,0.154967643547662,-4769.446565001623,-1744.1265981854026,160.29491548284707,car,0 days 01:55:10.856000
2024-04-21 08:03:29.689,0 days 01:55:11.016000,0 days 00:00:15.592000,7216,104,3,0,False,1,car,843.4172222222219,0.1558216005761748,-4764.982959934673,-1786.107983665606,157.65990560714758,car,0 days 01:55:11.016000
2024-04-21 08:03:29.969,0 days 01:55:11.296000,0 days 00:00:15.872000,7218,102,3,0,False,1,car,851.3505555555552,0.15728728643761267,-4747.178881463053,-1824.533734943917,154.8987002104239,car,0 days 01:55:11.296000
2024-04-21 08:03:30.129,0 days 01:55:11.456000,0 days 00:00:16.032000,7104,100,3,0,False,1,car,855.7949999999996,0.15810839896502887,-4719.6447901739,-1874.550482590726,151.64188933616995,car,0 days 01:55:11.456000
2024-04-21 08:03:30.289,0 days 01:55:11.616000,0 days 00:00:16.192000,7117,99,3,0,False,1,car,860.1949999999996,0.15892130036717086,-4696.246169278084,-1909.9814531499392,149.0715054710034,car,0 days 01:55:11.616000
2024-04-21 08:03:30.569,0 days 01:55:11.896000,0 days 00:00:16.472000,6887,97,3,0,False,1,car,867.7394444444441,0.16031513888245985,-4651.81189433822,-1949.4845351713839,146.16957069031764,car,0 days 01:55:11.896000
2024-04-21 08:03:30.929,0 days 01:55:12.256000,0 days 00:00:16.832000,6722,93,3,0,False,1,car,877.039444444444,0.1620333168460782,-4568.132210363083,-1992.5417464387642,142.78504389757614,car,0 days 01:55:12.256000
2024-04-21 08:03:31.209,0 days 01:55:12.536000,0 days 00:00:17.112000,6413,91,3,0,False,1,car,884.1172222222217,0.16334093854598844,-4502.1276430364505,-2006.0042619750902,142.71725290282717,car,0 days 01:55:12.536000
2024-04-21 08:03:31.489,0 days 01:55:12.816000,0 days 00:00:17.392000,6315,89,3,1,False,1,car,891.0394444444439,0.16461982130743913,-4414.947635114567,-1994.4539289311083,141.40059485261764,car,0 days 01:55:12.816000
2024-04-21 08:03:31.808,0 days 01:55:13.135000,0 days 00:00:17.711000,6527,86,3,13,False,1,car,898.6599999999994,0.16602772137476007,-4341.076711478625,-1971.137412651641,141.47605047767001,car,0 days 01:55:13.135000
2024-04-21 08:03:31.968,0 days 01:55:13.295000,0 days 00:00:17.871000,6475,86,3,32,False,1,car,902.4822222222216,0.16673387814833798,-4325.200480080378,-1960.5203384201898,142.00629110446684,car,0 days 01:55:13.295000
2024-04-21 08:03:32.328,0 days 01:55:13.655000,0 days 00:00:18.231000,6845,92,3,43,False,1,car,911.6822222222216,0.1684335810800895,-4230.774928307561,-1886.256795952703,142.00146354087715,car,0 days 01:55:13.655000
2024-04-21 08:03:32.648,0 days 01:55:13.975000,0 days 00:00:18.551000,7267,98,3,50,False,1,car,920.3933333333326,0.17004296163382518,-4187.507632594538,-1837.796757429426,141.94779166799196,car,0 days 01:55:13.975000
2024-04-21 08:03:32.808,0 days 01:55:14.135000,0 days 00:00:18.711000,7407,100,3,54,False,1,car,924.8377777777771,0.17086407416124136,-4176.177850854328,-1820.8418339621157,142.0749719637293,car,0 days 01:55:14.135000
2024-04-21 08:03:32.969,0 days 01:55:14.296000,0 days 00:00:18.872000,7748,105,3,59,False,1,car,929.5336111111104,0.17173163086598953,-4161.9829212409695,-1799.3695796983716,142.12413954028855,car,0 days 01:55:14.296000
2024-04-21 08:03:33.209,0 days 01:55:14.536000,0 days 00:00:19.112000,8281,111,3,67,False,1,car,936.9336111111104,0.17309878322413744,-4127.222028131109,-1739.787137814735,141.0504849717171,car,0 days 01:55:14.536000
2024-04-21 08:03:33.489,0 days 01:55:14.816000,0 days 00:00:19.392000,9220,120,3,72,False,1,car,946.2669444444438,0.17482311953171142,-4092.5638446525372,-1657.6884503535725,141.45896364490733,car,0 days 01:55:14.816000
2024-04-21 08:03:33.689,0 days 01:55:15.016000,0 days 00:00:19.592000,9622,126,3,67,False,1,car,953.2669444444438,0.17611637176239192,-4072.6417928952374,-1593.4528953492,141.40493540008487,car,0 days 01:55:15.016000
2024-04-21 08:03:33.889,0 days 01:55:15.216000,0 days 00:00:19.792000,9815,132,3,74,False,1,car,960.6002777777773,0.17747120743262862,-4056.9962530929447,-1524.351117658319,141.63486961123692,car,0 days 01:55:15.216000
2024-04-21 08:03:34.249,0 days 01:55:15.576000,0 days 00:00:20.152000,10862,147,3,85,False,1,car,975.3002777777772,0.18018703711705764,-4046.158233767119,-1386.2225829536364,140.97512815026414,car,0 days 01:55:15.576000
2024-04-21 08:03:34.529,0 days 01:55:15.856000,0 days 00:00:20.432000,11218,159,3,93,False,1,car,987.6669444444437,0.18247178272459313,-4054.0107253586366,-1256.4537384176713,140.99524505505377,car,0 days 01:55:15.856000
2024-04-21 08:03:34.929,0 days 01:55:16.256000,0 days 00:00:20.832000,10978,177,4,99,False,1,car,1007.3336111111105,0.18610520565840974,-4082.8421305874763,-1084.3238885097062,140.9839702809373,car,0 days 01:55:16.256000
2024-04-21 08:03:35.209,0 days 01:55:16.536000,0 days 00:00:21.112000,11579,184,4,99,False,1,car,1021.6447222222215,0.1887491879966898,-4150.495465908511,-920.0062072462913,141.05930548167007,car,0 days 01:55:16.536000
2024-04-21 08:03:35.449,0 days 01:55:16.776000,0 days 00:00:21.352000,10499,194,4,99,False,1,car,1034.578055555555,0.19113862545147092,-4205.734453610959,-794.1977915443131,140.7141282856901,car,0 days 01:55:16.776000
2024-04-21 08:03:35.609,0 days 01:55:16.936000,0 days 00:00:21.512000,10605,197,5,99,False,1,car,1043.3336111111105,0.19275621713048077,-4220.540422586846,-770.506974317421,140.16205324098775,car,0 days 01:55:16.936000
2024-04-21 08:03:35.769,0 days 01:55:17.096000,0 days 00:00:21.672000,10788,204,5,99,False,1,car,1052.400277777777,0.19443128668640977,-4281.576898132124,-684.7012937610074,139.97466587425197,car,0 days 01:55:17.096000
2024-04-21 08:03:36.129,0 days 01:55:17.456000,0 days 00:00:22.032000,11194,215,5,99,False,1,car,1073.900277777777,0.19840341853778554,-4399.021377293602,-528.1903520528218,139.8727163654803,car,0 days 01:55:17.456000
