Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 00:19:04.871000,PIA,,1.0,1.0,0 days 00:16:57.295000,,,0 days 00:00:50.567000,0 days 00:00:24.483000,,0 days 00:18:40.428000,0 days 00:19:04.871000,261.0,243.0,266.0,140.0,False,SOFT,1.0,True,0 days 00:16:57.295000,2024-04-06 06:04:49.866,,False
0 days 00:20:34.296000,PIA,0 days 00:01:29.425000,2.0,1.0,,,0 days 00:00:31.253000,0 days 00:00:40.367000,0 days 00:00:17.805000,0 days 00:19:36.124000,0 days 00:20:16.491000,0 days 00:20:34.296000,284.0,299.0,263.0,296.0,True,SOFT,2.0,True,0 days 00:19:04.871000,2024-04-06 06:06:57.442,,False
0 days 00:22:33.963000,PIA,0 days 00:01:59.667000,3.0,1.0,,0 days 00:22:32.659000,0 days 00:00:40.929000,0 days 00:00:52.555000,0 days 00:00:26.183000,0 days 00:21:15.225000,0 days 00:22:07.780000,0 days 00:22:33.963000,198.0,276.0,,219.0,False,SOFT,3.0,True,0 days 00:20:34.296000,2024-04-06 06:08:26.867,,False
0 days 00:40:56.335000,PIA,,4.0,2.0,0 days 00:39:00.877000,,,0 days 00:00:49.280000,0 days 00:00:24.391000,,0 days 00:40:31.958000,0 days 00:40:56.363000,128.0,215.0,267.0,180.0,False,SOFT,1.0,True,0 days 00:22:33.963000,2024-04-06 06:10:26.534,,False
0 days 00:42:25.483000,PIA,0 days 00:01:29.148000,5.0,2.0,,,0 days 00:00:31.020000,0 days 00:00:40.271000,0 days 00:00:17.857000,0 days 00:41:27.355000,0 days 00:42:07.626000,0 days 00:42:25.483000,286.0,300.0,263.0,298.0,True,SOFT,2.0,True,0 days 00:40:56.335000,2024-04-06 06:28:48.906,,False
0 days 00:44:20.680000,PIA,0 days 00:01:55.197000,6.0,2.0,,0 days 00:44:19.287000,0 days 00:00:41.517000,0 days 00:00:50.305000,0 days 00:00:23.375000,0 days 00:43:07,0 days 00:43:57.305000,0 days 00:44:20.680000,129.0,279.0,,263.0,False,SOFT,3.0,True,0 days 00:42:25.483000,2024-04-06 06:30:18.054,,False
0 days 01:03:09.494000,PIA,,7.0,3.0,0 days 01:00:58.222000,,,0 days 00:00:51.693000,0 days 00:00:25.800000,,0 days 01:02:43.754000,0 days 01:03:09.641000,264.0,263.0,268.0,142.0,False,SOFT,1.0,True,0 days 00:44:20.680000,2024-04-06 06:32:13.251,,False
0 days 01:04:38.254000,PIA,0 days 00:01:28.760000,8.0,3.0,,,0 days 00:00:30.837000,0 days 00:00:40.227000,0 days 00:00:17.696000,0 days 01:03:40.331000,0 days 01:04:20.558000,0 days 01:04:38.254000,286.0,296.0,263.0,294.0,True,SOFT,2.0,True,0 days 01:03:09.494000,2024-04-06 06:51:02.065,,False
0 days 01:06:30.765000,PIA,0 days 00:01:52.511000,9.0,3.0,,0 days 01:06:29.421000,0 days 00:00:39.137000,0 days 00:00:48.031000,0 days 00:00:25.343000,0 days 01:05:17.391000,0 days 01:06:05.422000,0 days 01:06:30.765000,234.0,274.0,,215.0,False,SOFT,3.0,True,0 days 01:04:38.254000,2024-04-06 06:52:30.825,,False
0 days 01:11:15.861000,PIA,,10.0,4.0,0 days 01:09:07.155000,,,0 days 00:00:51.042000,0 days 00:00:23.162000,,0 days 01:10:52.699000,0 days 01:11:16.101000,263.0,274.0,266.0,160.0,False,SOFT,1.0,True,0 days 01:06:30.765000,2024-04-06 06:54:23.336,,False
0 days 01:12:44.876000,PIA,0 days 00:01:29.015000,11.0,4.0,,,0 days 00:00:30.923000,0 days 00:00:40.236000,0 days 00:00:17.856000,0 days 01:11:46.784000,0 days 01:12:27.020000,0 days 01:12:44.876000,286.0,298.0,263.0,295.0,False,SOFT,2.0,True,0 days 01:11:15.861000,2024-04-06 06:59:08.432,,False
0 days 01:14:51.987000,PIA,0 days 00:02:07.111000,12.0,4.0,,0 days 01:14:47.289000,0 days 00:00:39.604000,0 days 00:00:51.559000,0 days 00:00:35.948000,0 days 01:13:24.480000,0 days 01:14:16.039000,0 days 01:14:51.987000,241.0,223.0,,184.0,False,SOFT,3.0,True,0 days 01:12:44.876000,2024-04-06 07:00:37.447,,False
