Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-05-03 21:15:06.157,0 days 00:59:34.684000,0 days 00:00:00.012000,11645,291,7,99,False,12,car,1.4533333333333331,0.0002796559889249386,1901.9736996609422,88.17345774501268,249.45099134336337,car,0 days 00:59:34.684000
2024-05-03 21:15:06.437,0 days 00:59:34.964000,0 days 00:00:00.292000,11729,293,7,99,False,12,car,24.242222222222217,0.004664781625660787,2140.649309393638,-62.793852141993625,250.36057526413185,car,0 days 00:59:34.964000
2024-05-03 21:15:06.597,0 days 00:59:35.124000,0 days 00:00:00.452000,11606,294,7,100,False,12,car,37.30888888888889,0.007179119874710694,2258.4418443614427,-136.70593271751451,250.8221777689055,car,0 days 00:59:35.124000
2024-05-03 21:15:06.877,0 days 00:59:35.404000,0 days 00:00:00.732000,11678,294,7,99,False,12,car,60.175555555555555,0.01157921181054803,2415.081418313768,-234.6309951530725,251.03253436019838,car,0 days 00:59:35.404000
2024-05-03 21:15:07.197,0 days 00:59:35.724000,0 days 00:00:01.052000,11242,288,7,0,False,8,car,85.77555555555556,0.016505262257666214,2578.2143434041072,-337.31081144860946,251.12951325463033,car,0 days 00:59:35.724000
2024-05-03 21:15:07.396,0 days 00:59:35.923000,0 days 00:00:01.251000,11261,282,7,0,False,8,car,101.36388888888888,0.019504829304013635,2756.5438710946078,-449.84798159868114,250.66520347117006,car,0 days 00:59:35.923000
2024-05-03 21:15:07.796,0 days 00:59:36.323000,0 days 00:00:01.651000,10732,274,7,0,False,8,car,131.80833333333334,0.025363066380881618,2987.0426405981952,-594.1525459051634,249.07911574899651,car,0 days 00:59:36.323000
2024-05-03 21:15:08.116,0 days 00:59:36.643000,0 days 00:00:01.971000,10531,264,7,0,False,8,car,155.275,0.02987861262407329,3229.3534540972605,-739.8707240817376,249.07627413555718,car,0 days 00:59:36.643000
2024-05-03 21:15:08.596,0 days 00:59:37.123000,0 days 00:00:02.451000,9975,253,7,0,True,8,car,189.00833333333333,0.03636971034866131,3465.3667612529935,-881.857190234947,247.9960060000443,car,0 days 00:59:37.123000
2024-05-03 21:15:08.836,0 days 00:59:37.363000,0 days 00:00:02.691000,11423,247,7,0,True,8,car,205.47499999999997,0.03953828967271909,3610.4485110025225,-967.0616459923747,247.71209236613134,car,0 days 00:59:37.363000
