Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-23 13:56:16.758,0 days 01:49:59.440000,0 days 00:00:00.128000,11396,284,7,99,False,0,car,10.106666666666664,0.002174118807848624,1313,-348,1707,car,0 days 01:49:59.440000
2024-06-23 13:56:17.198,0 days 01:49:59.880000,0 days 00:00:00.568000,11497,287,7,100,False,0,car,45.18444444444443,0.009719955523303885,1165,-582,1708,car,0 days 01:49:59.880000
2024-06-23 13:56:17.678,0 days 01:50:00.360000,0 days 00:00:01.048000,11631,291,7,99,False,0,car,83.98444444444443,0.01806650661939821,947,-925,1707,car,0 days 01:50:00.360000
2024-06-23 13:56:17.998,0 days 01:50:00.680000,0 days 00:00:01.368000,10817,293,7,100,False,0,car,110.02888888888889,0.02366911709169062,832,-1106,1708,car,0 days 01:50:00.680000
2024-06-23 13:56:18.198,0 days 01:50:00.880000,0 days 00:00:01.568000,10390,294,8,100,False,0,car,126.36222222222221,0.027182699597778436,737,-1255,1707,car,0 days 01:50:00.880000
2024-06-23 13:56:18.358,0 days 01:50:01.040000,0 days 00:00:01.728000,10418,295,8,100,False,0,car,139.47333333333333,0.030003126371372736,665,-1368,1706,car,0 days 01:50:01.040000
2024-06-23 13:56:18.718,0 days 01:50:01.400000,0 days 00:00:02.088000,10471,296,8,100,False,0,car,169.07333333333332,0.036370598341589025,505,-1621,1708,car,0 days 01:50:01.400000
2024-06-23 13:56:19.118,0 days 01:50:01.800000,0 days 00:00:02.488000,10540,298,8,99,False,0,car,202.1844444444444,0.04349337104100514,340,-1881,1708,car,0 days 01:50:01.800000
2024-06-23 13:56:19.438,0 days 01:50:02.120000,0 days 00:00:02.808000,10599,299,8,100,False,0,car,228.76222222222216,0.04921071073798612,196,-2107,1708,car,0 days 01:50:02.120000
2024-06-23 13:56:19.718,0 days 01:50:02.400000,0 days 00:00:03.088000,10573,300,8,100,False,0,car,252.0955555555555,0.054230114318111575,68,-2308,1707,car,0 days 01:50:02.400000
