Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-19 22:07:03.562,0 days 00:20:16.462000,0 days 00:00:00.041000,6914,80,2,32,False,8,car,0.9111111111111105,0.00016587285380502705,-1298,-239,1282,car,0 days 00:20:16.462000
2024-10-19 22:07:03.842,0 days 00:20:16.742000,0 days 00:00:00.321000,7059,80,2,32,False,8,car,7.133333333333333,0.0012986630749125296,-1251,-276,1282,car,0 days 00:20:16.742000
2024-10-19 22:07:04.282,0 days 00:20:17.182000,0 days 00:00:00.761000,7000,80,2,32,False,8,car,16.91111111111111,0.0030787619937957477,-1188,-323,1282,car,0 days 00:20:17.182000
2024-10-19 22:07:04.722,0 days 00:20:17.622000,0 days 00:00:01.201000,6968,79,2,32,False,8,car,26.56666666666667,0.004836609676192926,-1116,-378,1281,car,0 days 00:20:17.622000
2024-10-19 22:07:05.122,0 days 00:20:18.022000,0 days 00:00:01.601000,6980,79,2,32,False,8,car,35.34444444444445,0.006434653023826725,-1024,-450,1281,car,0 days 00:20:18.022000
2024-10-19 22:07:05.322,0 days 00:20:18.222000,0 days 00:00:01.801000,6866,80,2,32,False,8,car,39.78888888888889,0.007243788896046368,-993,-473,1281,car,0 days 00:20:18.222000
2024-10-19 22:07:05.522,0 days 00:20:18.422000,0 days 00:00:02.001000,7055,80,2,32,False,8,car,44.233333333333334,0.008052924768266013,-970,-490,1282,car,0 days 00:20:18.422000
2024-10-19 22:07:05.762,0 days 00:20:18.662000,0 days 00:00:02.241000,7074,80,2,32,False,8,car,49.56666666666667,0.009023887814929587,-927,-523,1282,car,0 days 00:20:18.662000
2024-10-19 22:07:06.082,0 days 00:20:18.982000,0 days 00:00:02.561000,6976,80,2,32,False,8,car,56.67777777777778,0.010318505210481017,-872,-566,1281,car,0 days 00:20:18.982000
2024-10-19 22:07:06.242,0 days 00:20:19.142000,0 days 00:00:02.721000,7004,80,2,32,False,8,car,60.233333333333334,0.010965813908256733,-843,-587,1282,car,0 days 00:20:19.142000
2024-10-19 22:07:06.522,0 days 00:20:19.422000,0 days 00:00:03.001000,6891,80,2,32,False,8,car,66.45555555555555,0.012098604129364234,-794,-625,1282,car,0 days 00:20:19.422000
2024-10-19 22:07:06.682,0 days 00:20:19.582000,0 days 00:00:03.161000,6938,80,2,32,False,8,car,70.0111111111111,0.01274591282713995,-766,-647,1282,car,0 days 00:20:19.582000
2024-10-19 22:07:06.922,0 days 00:20:19.822000,0 days 00:00:03.401000,7042,80,2,32,False,8,car,75.34444444444443,0.013716875873803522,-710,-689,1281,car,0 days 00:20:19.822000
2024-10-19 22:07:07.122,0 days 00:20:20.022000,0 days 00:00:03.601000,7001,80,2,32,False,8,car,79.78888888888888,0.014526011746023167,-685,-709,1281,car,0 days 00:20:20.022000
2024-10-19 22:07:07.482,0 days 00:20:20.382000,0 days 00:00:03.961000,7037,80,2,31,False,8,car,87.78888888888888,0.015982456316018526,-626,-754,1282,car,0 days 00:20:20.382000
2024-10-19 22:07:07.762,0 days 00:20:20.662000,0 days 00:00:04.241000,7169,79,2,0,False,8,car,93.93333333333332,0.017101086659362188,-575,-793,1282,car,0 days 00:20:20.662000
2024-10-19 22:07:07.922,0 days 00:20:20.822000,0 days 00:00:04.401000,6592,77,2,0,True,8,car,97.35555555555555,0.017724121280971315,-540,-820,1282,car,0 days 00:20:20.822000
2024-10-19 22:07:08.122,0 days 00:20:21.022000,0 days 00:00:04.601000,6364,75,2,0,True,8,car,101.52222222222223,0.018482686161177233,-512,-842,1281,car,0 days 00:20:21.022000
2024-10-19 22:07:08.402,0 days 00:20:21.302000,0 days 00:00:04.881000,6013,69,2,0,True,8,car,106.8888888888889,0.019459717726882455,-474,-869,1282,car,0 days 00:20:21.302000
2024-10-19 22:07:08.722,0 days 00:20:21.622000,0 days 00:00:05.201000,5543,64,2,0,True,8,car,112.57777777777778,0.020495411643323597,-425,-908,1282,car,0 days 00:20:21.622000
2024-10-19 22:07:08.922,0 days 00:20:21.822000,0 days 00:00:05.401000,4893,62,2,0,True,8,car,116.02222222222223,0.021122491944293824,-397,-929,1282,car,0 days 00:20:21.822000
2024-10-19 22:07:09.162,0 days 00:20:22.062000,0 days 00:00:05.641000,4546,61,1,0,False,8,car,120.0888888888889,0.0218628512673748,-364,-955,1282,car,0 days 00:20:22.062000
2024-10-19 22:07:09.563,0 days 00:20:22.463000,0 days 00:00:06.042000,4276,57,0,0,True,8,car,126.43805555555556,0.023018752431832573,-301,-1003,1282,car,0 days 00:20:22.463000
2024-10-19 22:07:09.882,0 days 00:20:22.782000,0 days 00:00:06.361000,4071,53,0,0,True,8,car,131.13444444444445,0.02387375619380867,-276,-1022,1282,car,0 days 00:20:22.782000
2024-10-19 22:07:10.202,0 days 00:20:23.102000,0 days 00:00:06.681000,3837,45,0,0,True,8,car,135.13444444444445,0.02460197847880635,-258,-1035,1282,car,0 days 00:20:23.102000
2024-10-19 22:07:10.562,0 days 00:20:23.462000,0 days 00:00:07.041000,4005,42,0,0,False,8,car,139.33444444444447,0.02536661187805392,-223,-1063,1282,car,0 days 00:20:23.462000
2024-10-19 22:07:10.802,0 days 00:20:23.702000,0 days 00:00:07.281000,4042,41,0,0,False,8,car,142.0677777777778,0.025864230439468998,-195,-1084,1282,car,0 days 00:20:23.702000
2024-10-19 22:07:11.082,0 days 00:20:23.982000,0 days 00:00:07.561000,4093,40,0,0,True,8,car,145.1788888888889,0.02643062555002275,-173,-1100,1282,car,0 days 00:20:23.982000
2024-10-19 22:07:11.282,0 days 00:20:24.182000,0 days 00:00:07.761000,4115,37,0,0,True,8,car,147.23444444444448,0.026804850890924336,-160,-1110,1282,car,0 days 00:20:24.182000
2024-10-19 22:07:11.682,0 days 00:20:24.582000,0 days 00:00:08.161000,4116,30,0,0,True,8,car,150.56777777777782,0.02741170279508907,-128,-1136,1282,car,0 days 00:20:24.582000
2024-10-19 22:07:11.922,0 days 00:20:24.822000,0 days 00:00:08.401000,4126,24,0,0,True,8,car,152.16777777777781,0.027702991709088142,-115,-1145,1282,car,0 days 00:20:24.822000
2024-10-19 22:07:12.282,0 days 00:20:25.182000,0 days 00:00:08.761000,3981,18,0,0,True,8,car,153.96777777777783,0.0280306917373371,-101,-1155,1281,car,0 days 00:20:25.182000
2024-10-19 22:07:12.562,0 days 00:20:25.462000,0 days 00:00:09.041000,4048,11,0,0,True,8,car,154.82333333333338,0.02818645039273938,-93,-1162,1282,car,0 days 00:20:25.462000
2024-10-19 22:07:12.722,0 days 00:20:25.622000,0 days 00:00:09.201000,3841,7,0,0,True,8,car,155.13444444444448,0.028243089903794757,-89,-1164,1281,car,0 days 00:20:25.622000
2024-10-19 22:07:13.042,0 days 00:20:25.942000,0 days 00:00:09.521000,4070,3,0,0,True,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1282,car,0 days 00:20:25.942000
2024-10-19 22:07:13.362,0 days 00:20:26.262000,0 days 00:00:09.841000,4035,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1282,car,0 days 00:20:26.262000
2024-10-19 22:07:13.722,0 days 00:20:26.622000,0 days 00:00:10.201000,4336,0,0,0,True,8,car,155.40111111111116,0.028291638056127937,-85,-1168,1282,car,0 days 00:20:26.622000
2024-10-19 22:07:13.882,0 days 00:20:26.782000,0 days 00:00:10.361000,4398,0,0,0,True,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1282,car,0 days 00:20:26.782000
2024-10-19 22:07:14.042,0 days 00:20:26.942000,0 days 00:00:10.521000,4293,0,0,0,True,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1282,car,0 days 00:20:26.942000
2024-10-19 22:07:14.282,0 days 00:20:27.182000,0 days 00:00:10.761000,2884,0,0,0,True,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1281,car,0 days 00:20:27.182000
2024-10-19 22:07:14.722,0 days 00:20:27.622000,0 days 00:00:11.201000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1281,car,0 days 00:20:27.622000
2024-10-19 22:07:14.882,0 days 00:20:27.782000,0 days 00:00:11.361000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1282,car,0 days 00:20:27.782000
2024-10-19 22:07:15.242,0 days 00:20:28.142000,0 days 00:00:11.721000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1282,car,0 days 00:20:28.142000
2024-10-19 22:07:15.442,0 days 00:20:28.342000,0 days 00:00:11.921000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1281,car,0 days 00:20:28.342000
2024-10-19 22:07:15.762,0 days 00:20:28.662000,0 days 00:00:12.241000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1281,car,0 days 00:20:28.662000
2024-10-19 22:07:16.083,0 days 00:20:28.983000,0 days 00:00:12.562000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-85,-1168,1282,car,0 days 00:20:28.983000
2024-10-19 22:07:16.283,0 days 00:20:29.183000,0 days 00:00:12.762000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1282,car,0 days 00:20:29.183000
2024-10-19 22:07:16.482,0 days 00:20:29.382000,0 days 00:00:12.961000,0,0,0,0,False,8,car,155.40111111111116,0.028291638056127937,-86,-1167,1281,car,0 days 00:20:29.382000
