Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-14 12:02:20.346,0 days 00:15:14.796000,0 days 00:00:00.277000,12109,339,8,100,False,12,car,26.085000000000004,0.004382866076851795,1412,-447,-244,car,0 days 00:15:14.796000
2024-09-14 12:02:20.706,0 days 00:15:15.156000,0 days 00:00:00.637000,12106,340,8,100,False,12,car,60.08500000000001,0.010095629987641942,1645,-350,-244,car,0 days 00:15:15.156000
2024-09-14 12:02:20.986,0 days 00:15:15.436000,0 days 00:00:00.917000,12116,340,8,100,False,12,car,86.52944444444445,0.014538890807145391,1863,-258,-243,car,0 days 00:15:15.436000
2024-09-14 12:02:21.226,0 days 00:15:15.676000,0 days 00:00:01.157000,12116,340,8,100,False,12,car,109.19611111111112,0.01834740008100549,2225,-106,-242,car,0 days 00:15:15.676000
2024-09-14 12:02:21.386,0 days 00:15:15.836000,0 days 00:00:01.317000,12149,340,8,100,False,12,car,124.30722222222222,0.020886406263578888,2297,-76,-242,car,0 days 00:15:15.836000
2024-09-14 12:02:21.626,0 days 00:15:16.076000,0 days 00:00:01.557000,12087,339,8,100,False,12,car,146.90722222222223,0.024683714039574693,2453,-10,-243,car,0 days 00:15:16.076000
2024-09-14 12:02:21.866,0 days 00:15:16.316000,0 days 00:00:01.797000,11213,313,8,0,True,8,car,167.7738888888889,0.028189782871098842,2783,128,-244,car,0 days 00:15:16.316000
2024-09-14 12:02:22.066,0 days 00:15:16.516000,0 days 00:00:01.997000,10990,277,8,0,True,8,car,183.16277777777782,0.03077546196144014,2915,186,-244,car,0 days 00:15:16.516000
2024-09-14 12:02:22.226,0 days 00:15:16.676000,0 days 00:00:02.157000,11007,260,8,0,True,8,car,194.71833333333336,0.0327170549245845,2982,215,-244,car,0 days 00:15:16.676000
2024-09-14 12:02:22.426,0 days 00:15:16.876000,0 days 00:00:02.357000,11595,235,8,0,True,8,car,207.77388888888893,0.03491068158967549,3051,242,-245,car,0 days 00:15:16.876000
2024-09-14 12:02:22.787,0 days 00:15:17.237000,0 days 00:00:02.718000,11368,192,6,0,True,8,car,227.02722222222226,0.03814567417288371,3225,303,-245,car,0 days 00:15:17.237000
2024-09-14 12:02:22.987,0 days 00:15:17.437000,0 days 00:00:02.918000,10987,182,4,0,True,8,car,237.13833333333338,0.03984456801563503,3325,339,-246,car,0 days 00:15:17.437000
2024-09-14 12:02:23.267,0 days 00:15:17.717000,0 days 00:00:03.198000,11071,157,4,0,True,8,car,249.3494444444445,0.04189630904111163,3436,387,-247,car,0 days 00:15:17.717000
2024-09-14 12:02:23.707,0 days 00:15:18.157000,0 days 00:00:03.638000,9199,131,3,0,True,8,car,265.3605555555556,0.044586535444853,3572,476,-246,car,0 days 00:15:18.157000
2024-09-14 12:02:23.987,0 days 00:15:18.437000,0 days 00:00:03.918000,8489,126,3,0,True,8,car,275.1605555555556,0.04623315563090428,3638,545,-244,car,0 days 00:15:18.437000
2024-09-14 12:02:24.187,0 days 00:15:18.637000,0 days 00:00:04.118000,8489,118,3,0,True,8,car,281.71611111111116,0.04733463625422656,3675,599,-244,car,0 days 00:15:18.637000
2024-09-14 12:02:24.427,0 days 00:15:18.877000,0 days 00:00:04.358000,8056,113,3,0,False,8,car,289.24944444444446,0.048600405512891826,3705,669,-246,car,0 days 00:15:18.877000
2024-09-14 12:02:24.787,0 days 00:15:19.237000,0 days 00:00:04.718000,8262,113,3,32,False,8,car,300.5494444444445,0.05049905940088973,3725,777,-245,car,0 days 00:15:19.237000
2024-09-14 12:02:25.147,0 days 00:15:19.597000,0 days 00:00:05.078000,8448,114,3,27,False,8,car,311.9494444444445,0.052414515535684075,3711,891,-243,car,0 days 00:15:19.597000
2024-09-14 12:02:25.547,0 days 00:15:19.997000,0 days 00:00:05.478000,9217,122,3,80,False,8,car,325.50500000000005,0.05469215343475727,3671,1017,-244,car,0 days 00:15:19.997000
2024-09-14 12:02:25.827,0 days 00:15:20.277000,0 days 00:00:05.758000,10878,137,3,100,False,8,car,336.1605555555556,0.05648252617673366,3631,1110,-243,car,0 days 00:15:20.277000
2024-09-14 12:02:26.027,0 days 00:15:20.477000,0 days 00:00:05.958000,11394,148,3,100,False,8,car,344.38277777777785,0.057864044246663304,3598,1183,-242,car,0 days 00:15:20.477000
2024-09-14 12:02:26.266,0 days 00:15:20.716000,0 days 00:00:06.197000,11709,163,3,100,False,8,car,355.2041666666667,0.059682280714577124,3556,1275,-243,car,0 days 00:15:20.716000
2024-09-14 12:02:26.426,0 days 00:15:20.876000,0 days 00:00:06.357000,10674,167,3,100,False,8,car,362.6263888888889,0.060929380810135235,3527,1342,-242,car,0 days 00:15:20.876000
2024-09-14 12:02:26.666,0 days 00:15:21.116000,0 days 00:00:06.597000,11092,180,4,100,False,8,car,374.6263888888889,0.06294565042570822,3481,1449,-241,car,0 days 00:15:21.116000
2024-09-14 12:02:26.986,0 days 00:15:21.436000,0 days 00:00:06.917000,11834,192,4,100,False,8,car,391.6930555555556,0.06581323387896759,3418,1604,-241,car,0 days 00:15:21.436000
2024-09-14 12:02:27.186,0 days 00:15:21.636000,0 days 00:00:07.117000,10854,199,4,100,False,8,car,402.74861111111113,0.06767081560812975,3377,1701,-240,car,0 days 00:15:21.636000
2024-09-14 12:02:27.506,0 days 00:15:21.956000,0 days 00:00:07.437000,10811,209,5,100,False,8,car,421.3263888888889,0.07079229967964645,3270,1943,-239,car,0 days 00:15:21.956000
2024-09-14 12:02:27.666,0 days 00:15:22.116000,0 days 00:00:07.597000,11276,215,5,100,False,8,car,430.88194444444446,0.07239784770686199,3226,2038,-239,car,0 days 00:15:22.116000
2024-09-14 12:02:28.026,0 days 00:15:22.476000,0 days 00:00:07.957000,11672,223,5,100,False,8,car,453.1819444444444,0.07614474874246846,3175,2151,-238,car,0 days 00:15:22.476000
2024-09-14 12:02:28.386,0 days 00:15:22.836000,0 days 00:00:08.317000,10553,231,6,100,False,8,car,476.28194444444443,0.08002606775244647,3070,2386,-238,car,0 days 00:15:22.836000
2024-09-14 12:02:28.786,0 days 00:15:23.236000,0 days 00:00:08.717000,10778,240,6,100,False,8,car,502.9486111111111,0.08450666689816423,2956,2644,-237,car,0 days 00:15:23.236000
2024-09-14 12:02:28.946,0 days 00:15:23.396000,0 days 00:00:08.877000,10814,242,6,100,False,8,car,513.7041666666667,0.08631384188693707,2930,2703,-237,car,0 days 00:15:23.396000
2024-09-14 12:02:29.226,0 days 00:15:23.676000,0 days 00:00:09.157000,10060,225,6,0,True,8,car,531.2041666666667,0.08925423507631434,2859,2865,-236,car,0 days 00:15:23.676000
2024-09-14 12:02:29.387,0 days 00:15:23.837000,0 days 00:00:09.318000,10416,206,6,0,True,8,car,540.4169444444444,0.09080218873534429,2820,2953,-235,car,0 days 00:15:23.837000
2024-09-14 12:02:29.787,0 days 00:15:24.237000,0 days 00:00:09.718000,10574,177,5,0,True,8,car,560.083611111111,0.09410663060531115,2732,3149,-234,car,0 days 00:15:24.237000
2024-09-14 12:02:30.187,0 days 00:15:24.637000,0 days 00:00:10.118000,11304,147,3,0,True,8,car,576.4169444444444,0.09685099758206328,2660,3314,-234,car,0 days 00:15:24.637000
2024-09-14 12:02:30.427,0 days 00:15:24.877000,0 days 00:00:10.358000,9624,147,3,0,True,8,car,586.2169444444444,0.09849761776811455,2621,3402,-233,car,0 days 00:15:24.877000
2024-09-14 12:02:30.707,0 days 00:15:25.157000,0 days 00:00:10.638000,8212,117,3,0,True,8,car,595.3169444444444,0.10002662222659074,2581,3489,-232,car,0 days 00:15:25.157000
2024-09-14 12:02:31.067,0 days 00:15:25.517000,0 days 00:00:10.998000,7154,102,3,0,True,8,car,605.5169444444443,0.10174045139982776,2529,3585,-232,car,0 days 00:15:25.517000
2024-09-14 12:02:31.267,0 days 00:15:25.717000,0 days 00:00:11.198000,6862,100,3,0,True,8,car,611.0724999999999,0.10267390955518564,2500,3624,-231,car,0 days 00:15:25.717000
2024-09-14 12:02:31.427,0 days 00:15:25.877000,0 days 00:00:11.358000,6889,96,3,0,False,8,car,615.3391666666665,0.10339080541850047,2443,3666,-230,car,0 days 00:15:25.877000
2024-09-14 12:02:31.627,0 days 00:15:26.077000,0 days 00:00:11.558000,6623,92,3,0,False,8,car,620.4502777777776,0.1042495869214297,2396,3692,-232,car,0 days 00:15:26.077000
2024-09-14 12:02:31.827,0 days 00:15:26.277000,0 days 00:00:11.758000,6368,90,3,3,False,8,car,625.4502777777776,0.10508969926125179,2376,3689,-233,car,0 days 00:15:26.277000
2024-09-14 12:02:32.027,0 days 00:15:26.477000,0 days 00:00:11.958000,6622,89,3,20,False,8,car,630.3947222222221,0.10592047701952029,2332,3688,-234,car,0 days 00:15:26.477000
