Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-15 11:55:51.539,0 days 01:47:55.764000,0 days 00:00:00.173000,11129,311,8,100,False,0,car,14.937777777777773,0.0025117922424219524,1235,-520,-245,car,0 days 01:47:55.764000
2024-09-15 11:55:51.699,0 days 01:47:55.924000,0 days 00:00:00.333000,11118,312,8,100,False,0,car,28.804444444444442,0.004843476799505111,1402,-451,-244,car,0 days 01:47:55.924000
2024-09-15 11:55:51.979,0 days 01:47:56.204000,0 days 00:00:00.613000,11120,311,8,100,False,0,car,52.993333333333325,0.00891084641550674,1664,-341,-243,car,0 days 01:47:56.204000
2024-09-15 11:55:52.139,0 days 01:47:56.364000,0 days 00:00:00.773000,11101,310,8,100,False,0,car,66.77111111111111,0.011227584276711161,1748,-305,-243,car,0 days 01:47:56.364000
2024-09-15 11:55:52.419,0 days 01:47:56.644000,0 days 00:00:01.053000,11067,310,8,100,False,0,car,90.88222222222221,0.015281875533818896,1901,-241,-242,car,0 days 01:47:56.644000
2024-09-15 11:55:52.619,0 days 01:47:56.844000,0 days 00:00:01.253000,11079,310,8,100,False,0,car,108.10444444444443,0.01817779786032442,2065,-172,-242,car,0 days 01:47:56.844000
2024-09-15 11:55:52.979,0 days 01:47:57.204000,0 days 00:00:01.613000,10962,309,8,100,False,0,car,139.00444444444443,0.023373643015170784,2350,-54,-242,car,0 days 01:47:57.204000
2024-09-15 11:55:53.419,0 days 01:47:57.644000,0 days 00:00:02.053000,10323,278,8,0,True,0,car,172.9822222222222,0.029087017514818455,2695,91,-245,car,0 days 01:47:57.644000
2024-09-15 11:55:53.619,0 days 01:47:57.844000,0 days 00:00:02.253000,10681,245,7,0,True,0,car,186.5933333333333,0.03137573032125024,2922,191,-244,car,0 days 01:47:57.844000
2024-09-15 11:55:53.899,0 days 01:47:58.124000,0 days 00:00:02.533000,11108,207,7,0,True,0,car,202.6933333333333,0.034082950612286694,3071,250,-245,car,0 days 01:47:58.124000
2024-09-15 11:55:54.219,0 days 01:47:58.444000,0 days 00:00:02.853000,11078,179,5,0,True,0,car,218.60444444444443,0.036758409174580835,3179,286,-244,car,0 days 01:47:58.444000
2024-09-15 11:55:54.459,0 days 01:47:58.684000,0 days 00:00:03.093000,10810,166,4,0,True,0,car,229.6711111111111,0.03861927281148374,3266,317,-245,car,0 days 01:47:58.684000
2024-09-15 11:55:54.619,0 days 01:47:58.844000,0 days 00:00:03.253000,10543,145,3,0,True,0,car,236.11555555555555,0.03970290826269226,3331,342,-247,car,0 days 01:47:58.844000
2024-09-15 11:55:55.060,0 days 01:47:59.285000,0 days 00:00:03.694000,8594,124,3,0,True,0,car,251.30555555555554,0.04225711175467013,3477,409,-247,car,0 days 01:47:59.285000
2024-09-15 11:55:55.220,0 days 01:47:59.445000,0 days 00:00:03.854000,8451,118,3,0,True,0,car,256.55,0.04313896681151569,3544,454,-246,car,0 days 01:47:59.445000
2024-09-15 11:55:55.420,0 days 01:47:59.645000,0 days 00:00:04.054000,8184,115,3,0,True,0,car,262.9388888888889,0.0442132605778,3590,489,-246,car,0 days 01:47:59.645000
2024-09-15 11:55:55.700,0 days 01:47:59.925000,0 days 00:00:04.334000,7961,110,3,0,False,0,car,271.49444444444447,0.04565188005612855,3616,521,-245,car,0 days 01:47:59.925000
2024-09-15 11:55:56.100,0 days 01:48:00.325000,0 days 00:00:04.734000,7615,105,3,0,False,0,car,283.16111111111115,0.04761363389021294,3684,620,-244,car,0 days 01:48:00.325000
