Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-04-20 03:33:21.383,0 days 01:14:57.776000,0 days 00:00:00.003000,10715,270,7,100,False,12,car,0.44388888888889255,8.237804698250002e-05,176.85244006361123,-1465.9584388129267,140.00170747221097,car,0 days 01:14:57.776000
2024-04-20 03:33:21.583,0 days 01:14:57.976000,0 days 00:00:00.203000,10777,273,7,100,False,12,car,15.610555555555559,0.0028970472367474964,38.22350391816316,-1499.6998094418484,140.00126683422098,car,0 days 01:14:57.976000
2024-04-20 03:33:21.783,0 days 01:14:58.176000,0 days 00:00:00.403000,10869,273,7,100,False,12,car,30.777222222222225,0.005711716426512492,-100.78830483521998,-1536.1130902320108,140.03005679501817,car,0 days 01:14:58.176000
2024-04-20 03:33:22.143,0 days 01:14:58.536000,0 days 00:00:00.763000,11075,280,7,100,False,12,car,58.77722222222222,0.01090802877684787,-359.1792830818995,-1599.3334372236468,139.05618429230904,car,0 days 01:14:58.536000
2024-04-20 03:33:22.343,0 days 01:14:58.736000,0 days 00:00:00.963000,11156,284,7,100,False,12,car,74.55499999999999,0.013836109545687645,-514.3394432251664,-1636.5885150523854,139.89192844433865,car,0 days 01:14:58.736000
2024-04-20 03:33:22.502,0 days 01:14:58.895000,0 days 00:00:01.122000,11267,286,7,100,False,12,car,87.18666666666667,0.01618032688516335,-656.9443546104569,-1671.194275519859,140.1819801481485,car,0 days 01:14:58.895000
2024-04-20 03:33:22.742,0 days 01:14:59.135000,0 days 00:00:01.362000,11332,288,7,100,False,12,car,106.38666666666667,0.019743512496821897,-875.4918955387201,-1724.7397242694576,140.00703506538852,car,0 days 01:14:59.135000
2024-04-20 03:33:23.182,0 days 01:14:59.575000,0 days 00:00:01.802000,10429,292,7,100,False,12,car,142.07555555555555,0.02636674871478905,-1118.2587489103098,-1784.31318691846,139.58320578407879,car,0 days 01:14:59.575000
2024-04-20 03:33:23.422,0 days 01:14:59.815000,0 days 00:00:02.042000,10548,295,8,100,False,12,car,161.7422222222222,0.03001653953228652,-1309.5289036787697,-1831.0047341842085,138.917266965923,car,0 days 01:14:59.815000
2024-04-20 03:33:23.662,0 days 01:15:00.055000,0 days 00:00:02.282000,10659,297,8,100,False,12,car,181.54222222222222,0.033691074694309396,-1492.7117873778602,-1876.8686413437476,139.01408215077703,car,0 days 01:15:00.055000
2024-04-20 03:33:24.022,0 days 01:15:00.415000,0 days 00:00:02.642000,10773,300,8,100,False,12,car,211.54222222222222,0.03925855221252587,-1771.7425114823584,-1946.3670806448586,139.00194941982238,car,0 days 01:15:00.415000
2024-04-20 03:33:24.342,0 days 01:15:00.735000,0 days 00:00:02.962000,10850,305,8,100,False,12,car,238.65333333333336,0.04428990226602521,-2023.4219017016733,-2009.6435386268897,139.1417973367649,car,0 days 01:15:00.735000
2024-04-20 03:33:24.502,0 days 01:15:00.895000,0 days 00:00:03.122000,10917,305,8,100,False,12,car,252.2088888888889,0.046805577292774875,-2151.4314587809954,-2041.6570338425265,139.94730481881675,car,0 days 01:15:00.895000
2024-04-20 03:33:24.822,0 days 01:15:01.215000,0 days 00:00:03.442000,10998,307,8,100,False,12,car,279.4977777777778,0.05186991980564142,-2413.5567415850373,-2105.4184266130405,139.9840875005672,car,0 days 01:15:01.215000
2024-04-20 03:33:24.982,0 days 01:15:01.375000,0 days 00:00:03.602000,11057,310,8,100,False,12,car,293.27555555555557,0.054426835406600094,-2561.9894788166675,-2141.929662526104,140.0014102710656,car,0 days 01:15:01.375000
2024-04-20 03:33:25.462,0 days 01:15:01.855000,0 days 00:00:04.082000,11180,313,8,100,False,12,car,335.0088888888889,0.062171815243052354,-3048.618393968569,-2260.4033045784017,140.29296727435616,car,0 days 01:15:01.855000
2024-04-20 03:33:25.622,0 days 01:15:02.015000,0 days 00:00:04.242000,11209,313,8,100,False,12,car,348.92,0.06475347518853643,-3240.8258898348486,-2307.251532020017,140.85347565533644,car,0 days 01:15:02.015000
2024-04-20 03:33:25.902,0 days 01:15:02.295000,0 days 00:00:04.522000,11237,313,8,100,False,12,car,373.2644444444445,0.06927138009313359,-3394.262788304568,-2345.330636908422,141.00252068212413,car,0 days 01:15:02.295000
2024-04-20 03:33:26.143,0 days 01:15:02.536000,0 days 00:00:04.763000,11339,316,8,100,False,12,car,394.41888888888894,0.07319727655496039,-3561.270894357985,-2386.4983591436817,141.04248579227988,car,0 days 01:15:02.536000
2024-04-20 03:33:26.343,0 days 01:15:02.736000,0 days 00:00:04.963000,11339,316,8,100,False,12,car,411.97444444444454,0.07645528191747225,-3700.012150588491,-2419.8348449721025,140.49991371300322,car,0 days 01:15:02.736000
2024-04-20 03:33:26.623,0 days 01:15:03.016000,0 days 00:00:05.243000,11276,316,8,100,False,10,car,436.5522222222223,0.08101648942498887,-4021.291015930478,-2493.7648985516407,138.89395910801647,car,0 days 01:15:03.016000
2024-04-20 03:33:26.783,0 days 01:15:03.176000,0 days 00:00:05.403000,10838,312,8,11,False,0,car,450.41888888888894,0.08358990125563114,-4127.564044236454,-2517.731904190502,138.6234057547985,car,0 days 01:15:03.176000
2024-04-20 03:33:26.943,0 days 01:15:03.336000,0 days 00:00:05.563000,10764,293,8,0,True,0,car,463.4411111111112,0.08600659890427918,-4180.6255512847765,-2527.061338412149,138.863564885061,car,0 days 01:15:03.336000
2024-04-20 03:33:27.303,0 days 01:15:03.696000,0 days 00:00:05.923000,11073,269,7,0,True,0,car,490.3411111111112,0.09099877041227997,-4440.410952941106,-2557.5300331647254,140.53350764414571,car,0 days 01:15:03.696000
2024-04-20 03:33:27.663,0 days 01:15:04.056000,0 days 00:00:06.283000,10726,248,6,0,True,0,car,515.1411111111113,0.0956012184940056,-4692.296089531247,-2553.3009752769754,145.591155761812,car,0 days 01:15:04.056000
2024-04-20 03:33:27.823,0 days 01:15:04.216000,0 days 00:00:06.443000,11146,235,6,0,True,0,car,525.5855555555556,0.09753952548182909,-4794.5024455497205,-2538.5247856834567,148.06831384949965,car,0 days 01:15:04.216000
