Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-05-04 16:12:32.216,0 days 00:52:40.140000,0 days 00:00:00.175000,11248,287,7,100,False,1,car,13.965277777777773,0.002605750989615247,1969,44,249,car,0 days 00:52:40.140000
2024-05-04 16:12:32.456,0 days 00:52:40.380000,0 days 00:00:00.415000,11287,288,7,100,False,1,car,33.165277777777774,0.006188237481951516,2130,-56,251,car,0 days 00:52:40.380000
2024-05-04 16:12:32.695,0 days 00:52:40.619000,0 days 00:00:00.654000,11360,288,7,100,False,1,car,52.28527777777778,0.009755796947236385,2308,-168,250,car,0 days 00:52:40.619000
2024-05-04 16:12:32.935,0 days 00:52:40.859000,0 days 00:00:00.894000,11365,289,7,100,False,1,car,71.55194444444444,0.013350722628782154,2569,-332,250,car,0 days 00:52:40.859000
2024-05-04 16:12:33.255,0 days 00:52:41.179000,0 days 00:00:01.214000,11290,291,7,100,False,1,car,97.4186111111111,0.018177128042068516,2749,-444,250,car,0 days 00:52:41.179000
2024-05-04 16:12:33.535,0 days 00:52:41.459000,0 days 00:00:01.494000,10473,292,8,100,False,1,car,120.12972222222223,0.02241474516610517,2888,-533,249,car,0 days 00:52:41.459000
2024-05-04 16:12:33.735,0 days 00:52:41.659000,0 days 00:00:01.694000,10473,292,8,100,False,1,car,136.35194444444446,0.025441614540417063,3005,-605,248,car,0 days 00:52:41.659000
2024-05-04 16:12:34.015,0 days 00:52:41.939000,0 days 00:00:01.974000,10507,293,8,100,False,1,car,159.14083333333335,0.0296937440518648,3200,-723,249,car,0 days 00:52:41.939000
2024-05-04 16:12:34.335,0 days 00:52:42.259000,0 days 00:00:02.294000,10513,294,8,100,False,1,car,185.2741666666667,0.03456990622198917,3424,-856,247,car,0 days 00:52:42.259000
2024-05-04 16:12:34.615,0 days 00:52:42.539000,0 days 00:00:02.574000,10535,295,8,100,False,1,car,208.21861111111113,0.038851060508259073,3622,-974,248,car,0 days 00:52:42.539000
2024-05-04 16:12:34.895,0 days 00:52:42.819000,0 days 00:00:02.854000,10564,295,8,100,False,1,car,231.1630555555556,0.04313221479452898,3920,-1136,245,car,0 days 00:52:42.819000
2024-05-04 16:12:35.175,0 days 00:52:43.099000,0 days 00:00:03.134000,10561,295,8,100,False,1,car,254.10750000000002,0.047413369080798885,3947,-1147,245,car,0 days 00:52:43.099000
2024-05-04 16:12:35.375,0 days 00:52:43.299000,0 days 00:00:03.334000,10579,296,8,100,False,1,car,270.5519444444445,0.050481702419142446,3730,-1029,246,car,0 days 00:52:43.299000
