Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-30 18:40:14.597,0 days 00:54:57.951000,0 days 00:00:00.112000,11081,282,7,100,False,8,car,8.79777777777778,0.001641589902003739,-1090,-1005,142,car,0 days 00:54:57.951000
2024-11-30 18:40:14.797,0 days 00:54:58.151000,0 days 00:00:00.312000,11066,282,7,100,False,8,car,24.464444444444446,0.004564855577458742,-1192,-820,141,car,0 days 00:54:58.151000
2024-11-30 18:40:15.117,0 days 00:54:58.471000,0 days 00:00:00.632000,11054,282,7,100,False,8,car,49.531111111111116,0.009242080658186748,-1337,-558,140,car,0 days 00:54:58.471000
2024-11-30 18:40:15.277,0 days 00:54:58.631000,0 days 00:00:00.792000,11078,282,7,100,False,8,car,62.06444444444445,0.01158069319855075,-1366,-505,141,car,0 days 00:54:58.631000
2024-11-30 18:40:15.557,0 days 00:54:58.911000,0 days 00:00:01.072000,11061,281,7,100,False,8,car,83.92,0.015658752477713863,-1468,-320,140,car,0 days 00:54:58.911000
2024-11-30 18:40:15.716,0 days 00:54:59.070000,0 days 00:00:01.231000,11080,281,7,100,False,8,car,96.33083333333335,0.017974507568381492,-1540,-191,139,car,0 days 00:54:59.070000
2024-11-30 18:40:15.956,0 days 00:54:59.310000,0 days 00:00:01.471000,11075,282,7,100,False,8,car,115.13083333333334,0.021482426378927496,-1633,-24,138,car,0 days 00:54:59.310000
2024-11-30 18:40:16.196,0 days 00:54:59.550000,0 days 00:00:01.711000,11070,281,7,100,False,8,car,133.86416666666668,0.024977905761067308,-1711,117,138,car,0 days 00:54:59.550000
2024-11-30 18:40:16.476,0 days 00:54:59.830000,0 days 00:00:01.991000,11073,282,7,100,False,8,car,155.7975,0.02907047770670431,-1818,312,137,car,0 days 00:54:59.830000
2024-11-30 18:40:16.716,0 days 00:55:00.070000,0 days 00:00:02.231000,11067,281,7,100,False,8,car,174.53083333333333,0.03256595708884412,-1909,476,137,car,0 days 00:55:00.070000
2024-11-30 18:40:16.916,0 days 00:55:00.270000,0 days 00:00:02.431000,11076,282,7,100,False,8,car,190.19750000000002,0.03548922276429913,-1999,638,136,car,0 days 00:55:00.270000
2024-11-30 18:40:17.276,0 days 00:55:00.630000,0 days 00:00:02.791000,11066,282,7,100,False,8,car,218.3975,0.04075110098011813,-2132,879,135,car,0 days 00:55:00.630000
2024-11-30 18:40:17.557,0 days 00:55:00.911000,0 days 00:00:03.072000,11037,282,7,100,False,8,car,240.4091666666667,0.04485828925413241,-2226,1050,135,car,0 days 00:55:00.911000
2024-11-30 18:40:17.917,0 days 00:55:01.271000,0 days 00:00:03.432000,11056,282,7,100,False,8,car,268.6091666666667,0.05012016746995142,-2368,1302,133,car,0 days 00:55:01.271000
2024-11-30 18:40:18.077,0 days 00:55:01.431000,0 days 00:00:03.592000,11062,281,7,100,False,8,car,281.09805555555556,0.05245048705804462,-2458,1460,133,car,0 days 00:55:01.431000
2024-11-30 18:40:18.317,0 days 00:55:01.671000,0 days 00:00:03.832000,11044,281,7,100,False,8,car,299.83138888888885,0.05594596644018443,-2554,1629,133,car,0 days 00:55:01.671000
2024-11-30 18:40:18.517,0 days 00:55:01.871000,0 days 00:00:04.032000,11035,281,7,100,False,8,car,315.4425,0.05885886592530094,-2616,1738,132,car,0 days 00:55:01.871000
2024-11-30 18:40:18.917,0 days 00:55:02.271000,0 days 00:00:04.432000,11045,281,7,100,False,8,car,346.6647222222222,0.06468466489553397,-2749,1973,131,car,0 days 00:55:02.271000
2024-11-30 18:40:19.237,0 days 00:55:02.591000,0 days 00:00:04.752000,11051,282,7,100,False,8,car,371.73138888888883,0.06936188997626196,-2873,2192,131,car,0 days 00:55:02.591000
2024-11-30 18:40:19.397,0 days 00:55:02.751000,0 days 00:00:04.912000,11049,281,7,100,False,8,car,384.2202777777777,0.07169220956435517,-2935,2300,131,car,0 days 00:55:02.751000
2024-11-30 18:40:19.757,0 days 00:55:03.111000,0 days 00:00:05.272000,11037,281,7,100,False,8,car,412.32027777777773,0.07693542863756489,-3074,2545,130,car,0 days 00:55:03.111000
2024-11-30 18:40:19.917,0 days 00:55:03.271000,0 days 00:00:05.432000,11047,281,7,100,False,8,car,424.8091666666666,0.0792657482256581,-3135,2653,129,car,0 days 00:55:03.271000
2024-11-30 18:40:20.077,0 days 00:55:03.431000,0 days 00:00:05.592000,11027,281,7,100,False,8,car,437.29805555555544,0.0815960678137513,-3196,2761,129,car,0 days 00:55:03.431000
2024-11-30 18:40:20.397,0 days 00:55:03.751000,0 days 00:00:05.912000,11033,280,7,100,False,8,car,462.18694444444435,0.08624012108539612,-3321,2981,128,car,0 days 00:55:03.751000
2024-11-30 18:40:20.797,0 days 00:55:04.151000,0 days 00:00:06.312000,11038,281,7,100,False,8,car,493.4091666666666,0.09206592005562915,-3489,3278,127,car,0 days 00:55:04.151000
2024-11-30 18:40:20.957,0 days 00:55:04.311000,0 days 00:00:06.472000,11028,281,7,100,False,8,car,505.89805555555546,0.09439623964372235,-3593,3460,126,car,0 days 00:55:04.311000
2024-11-30 18:40:21.197,0 days 00:55:04.551000,0 days 00:00:06.712000,11022,280,7,100,False,8,car,524.564722222222,0.09787927959745596,-3688,3624,126,car,0 days 00:55:04.551000
2024-11-30 18:40:21.437,0 days 00:55:04.791000,0 days 00:00:06.952000,11002,280,7,100,False,8,car,543.2313888888887,0.10136231955118957,-3772,3765,127,car,0 days 00:55:04.791000
2024-11-30 18:40:21.677,0 days 00:55:05.031000,0 days 00:00:07.192000,11002,279,7,100,False,8,car,561.8313888888887,0.104832920076517,-3879,3944,127,car,0 days 00:55:05.031000
2024-11-30 18:40:21.917,0 days 00:55:05.271000,0 days 00:00:07.432000,10506,276,7,22,True,8,car,580.2313888888887,0.10826620231662586,-3954,4071,127,car,0 days 00:55:05.271000
2024-11-30 18:40:22.157,0 days 00:55:05.511000,0 days 00:00:07.672000,10354,265,7,0,True,8,car,597.8980555555553,0.1115626508442666,-4007,4162,127,car,0 days 00:55:05.511000
2024-11-30 18:40:22.356,0 days 00:55:05.710000,0 days 00:00:07.871000,10610,252,7,0,True,8,car,611.8280555555554,0.11416186940974032,-4078,4281,127,car,0 days 00:55:05.710000
2024-11-30 18:40:22.636,0 days 00:55:05.990000,0 days 00:00:08.151000,11769,229,7,0,True,8,car,629.6391666666664,0.11748527003226113,-4160,4432,128,car,0 days 00:55:05.990000
2024-11-30 18:40:23.036,0 days 00:55:06.390000,0 days 00:00:08.551000,11418,200,5,0,True,8,car,651.8613888888887,0.12163174616765832,-4276,4669,128,car,0 days 00:55:06.390000
2024-11-30 18:40:23.356,0 days 00:55:06.710000,0 days 00:00:08.871000,10876,181,4,0,True,8,car,667.9502777777775,0.12463379488968586,-4341,4809,128,car,0 days 00:55:06.710000
2024-11-30 18:40:23.636,0 days 00:55:06.990000,0 days 00:00:09.151000,10955,170,4,0,True,8,car,681.1724999999997,0.12710094819024717,-4389,4924,127,car,0 days 00:55:06.990000
2024-11-30 18:40:23.796,0 days 00:55:07.150000,0 days 00:00:09.311000,11096,155,4,0,True,8,car,688.0613888888886,0.1283863557922203,-4413,4991,127,car,0 days 00:55:07.150000
2024-11-30 18:40:24.117,0 days 00:55:07.471000,0 days 00:00:09.632000,10226,142,3,0,True,8,car,700.7230555555552,0.1307489142322662,-4449,5116,125,car,0 days 00:55:07.471000
2024-11-30 18:40:24.317,0 days 00:55:07.671000,0 days 00:00:09.832000,9481,135,3,0,True,8,car,708.2230555555552,0.13214834992796273,-4462,5190,125,car,0 days 00:55:07.671000
2024-11-30 18:40:24.557,0 days 00:55:07.911000,0 days 00:00:10.072000,9057,128,3,0,True,8,car,716.7563888888885,0.13374059676395525,-4469,5296,126,car,0 days 00:55:07.911000
2024-11-30 18:40:24.917,0 days 00:55:08.271000,0 days 00:00:10.432000,8931,118,3,0,True,8,car,728.5563888888886,0.13594237559185116,-4463,5417,125,car,0 days 00:55:08.271000
2024-11-30 18:40:25.157,0 days 00:55:08.511000,0 days 00:00:10.672000,10139,114,2,0,True,8,car,736.1563888888886,0.137360470430157,-4450,5471,126,car,0 days 00:55:08.511000
2024-11-30 18:40:25.317,0 days 00:55:08.671000,0 days 00:00:10.832000,9807,112,2,0,True,8,car,741.1341666666664,0.13828928108448596,-4437,5521,127,car,0 days 00:55:08.671000
2024-11-30 18:40:25.717,0 days 00:55:09.071000,0 days 00:00:11.232000,9206,104,2,0,True,8,car,752.6897222222219,0.14044544867489248,-4383,5624,127,car,0 days 00:55:09.071000
2024-11-30 18:40:26.117,0 days 00:55:09.471000,0 days 00:00:11.632000,8900,99,2,0,False,8,car,763.6897222222219,0.1424979543619141,-4314,5715,127,car,0 days 00:55:09.471000
2024-11-30 18:40:26.397,0 days 00:55:09.751000,0 days 00:00:11.912000,8634,96,2,0,False,8,car,771.1563888888886,0.14389117034340754,-4259,5767,126,car,0 days 00:55:09.751000
2024-11-30 18:40:26.557,0 days 00:55:09.911000,0 days 00:00:12.072000,8576,95,2,0,False,8,car,775.3786111111108,0.14467900080913298,-4226,5794,126,car,0 days 00:55:09.911000
2024-11-30 18:40:26.757,0 days 00:55:10.111000,0 days 00:00:12.272000,8463,94,2,3,False,8,car,780.6008333333331,0.14565342270095133,-4186,5821,126,car,0 days 00:55:10.111000
2024-11-30 18:40:26.917,0 days 00:55:10.271000,0 days 00:00:12.432000,8706,93,2,11,False,8,car,784.7341666666664,0.1464246672621352,-4137,5849,127,car,0 days 00:55:10.271000
2024-11-30 18:40:27.237,0 days 00:55:10.591000,0 days 00:00:12.752000,8709,95,2,24,False,8,car,793.1786111111109,0.14800032819358613,-4033,5892,128,car,0 days 00:55:10.591000
2024-11-30 18:40:27.437,0 days 00:55:10.791000,0 days 00:00:12.952000,8918,96,2,35,False,8,car,798.5119444444441,0.14899548246608144,-3991,5905,127,car,0 days 00:55:10.791000
2024-11-30 18:40:27.797,0 days 00:55:11.151000,0 days 00:00:13.312000,9299,100,2,37,False,8,car,808.5119444444441,0.15086139672701016,-3928,5915,128,car,0 days 00:55:11.151000
