Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-30 14:29:20.639,0 days 01:10:06.300000,0 days 00:00:00.189000,11145,283,7,100,False,0,car,14.952499999999997,0.0027740524036118687,-1156,-885,141,car,0 days 01:10:06.300000
2024-11-30 14:29:20.839,0 days 01:10:06.500000,0 days 00:00:00.389000,11185,285,7,100,False,0,car,30.785833333333333,0.005711520812942835,-1224,-763,141,car,0 days 01:10:06.500000
2024-11-30 14:29:21.119,0 days 01:10:06.780000,0 days 00:00:00.669000,11245,286,7,100,False,0,car,53.03027777777778,0.009838406255385358,-1314,-598,141,car,0 days 01:10:06.780000
2024-11-30 14:29:21.319,0 days 01:10:06.980000,0 days 00:00:00.869000,11287,287,7,100,False,0,car,68.97472222222223,0.012796488478115136,-1385,-470,140,car,0 days 01:10:06.980000
2024-11-30 14:29:21.479,0 days 01:10:07.140000,0 days 00:00:01.029000,11287,287,7,100,False,0,car,81.73027777777777,0.015162954256298959,-1448,-357,140,car,0 days 01:10:07.140000
2024-11-30 14:29:21.639,0 days 01:10:07.300000,0 days 00:00:01.189000,11329,288,7,100,False,0,car,94.53027777777778,0.01753766555984231,-1509,-245,139,car,0 days 01:10:07.300000
2024-11-30 14:29:21.919,0 days 01:10:07.580000,0 days 00:00:01.469000,11357,288,7,100,False,0,car,116.93027777777779,0.02169341034104317,-1615,-55,138,car,0 days 01:10:07.580000
2024-11-30 14:29:22.119,0 days 01:10:07.780000,0 days 00:00:01.669000,11426,290,7,100,False,0,car,133.0413888888889,0.02468241328387117,-1686,72,138,car,0 days 01:10:07.780000
2024-11-30 14:29:22.359,0 days 01:10:08.020000,0 days 00:00:01.909000,11430,291,7,100,False,0,car,152.4413888888889,0.028281585103304058,-1845,360,136,car,0 days 01:10:08.020000
2024-11-30 14:29:22.599,0 days 01:10:08.260000,0 days 00:00:02.149000,11466,291,7,100,False,0,car,171.8413888888889,0.031880756922736946,-1897,455,136,car,0 days 01:10:08.260000
2024-11-30 14:29:22.999,0 days 01:10:08.660000,0 days 00:00:02.549000,11524,293,7,100,False,0,car,204.39694444444444,0.03792060424858939,-2091,805,135,car,0 days 01:10:08.660000
2024-11-30 14:29:23.239,0 days 01:10:08.900000,0 days 00:00:02.789000,11547,294,7,100,False,0,car,223.99694444444447,0.04155688093214015,-2209,1020,134,car,0 days 01:10:08.900000
2024-11-30 14:29:23.439,0 days 01:10:09.100000,0 days 00:00:02.989000,10735,294,8,100,False,0,car,240.33027777777778,0.04458711150176577,-2277,1141,133,car,0 days 01:10:09.100000
2024-11-30 14:29:23.599,0 days 01:10:09.260000,0 days 00:00:03.149000,10661,295,8,100,False,0,car,253.4413888888889,0.0470195414828258,-2312,1205,133,car,0 days 01:10:09.260000
2024-11-30 14:29:23.879,0 days 01:10:09.540000,0 days 00:00:03.429000,10609,296,8,100,False,0,car,276.4636111111111,0.051290723619060015,-2396,1352,134,car,0 days 01:10:09.540000
2024-11-30 14:29:24.199,0 days 01:10:09.860000,0 days 00:00:03.749000,10621,297,8,100,False,0,car,302.86361111111114,0.05618856568261817,-2529,1586,133,car,0 days 01:10:09.860000
2024-11-30 14:29:24.479,0 days 01:10:10.140000,0 days 00:00:04.029000,10638,298,8,100,False,0,car,326.0413888888889,0.06048860715761073,-2643,1787,132,car,0 days 01:10:10.140000
2024-11-30 14:29:24.719,0 days 01:10:10.380000,0 days 00:00:04.269000,10648,298,8,100,False,0,car,345.90805555555556,0.06417435699331864,-2741,1960,131,car,0 days 01:10:10.380000
2024-11-30 14:29:24.999,0 days 01:10:10.660000,0 days 00:00:04.549000,10683,299,8,100,False,0,car,369.16361111111115,0.06848882813769037,-2856,2162,132,car,0 days 01:10:10.660000
