Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-04-19 07:59:24.958,0 days 00:42:59.641000,0 days 00:00:00.069000,11011,276,7,100,False,12,car,10.684444444444438,0.0019720659200358655,142,-1474,140,car,0 days 00:42:59.641000
2024-04-19 07:59:25.118,0 days 00:42:59.801000,0 days 00:00:00.229000,11076,280,7,100,False,12,car,23.12888888888888,0.0042689813011092545,-29,-1517,140,car,0 days 00:42:59.801000
2024-04-19 07:59:25.358,0 days 00:43:00.041000,0 days 00:00:00.469000,11202,283,7,100,False,12,car,41.99555555555554,0.007751269084200874,-206,-1562,139,car,0 days 00:43:00.041000
2024-04-19 07:59:25.638,0 days 00:43:00.321000,0 days 00:00:00.749000,11241,286,7,100,False,12,car,64.23999999999998,0.011857005327869556,-339,-1594,139,car,0 days 00:43:00.321000
2024-04-19 07:59:25.838,0 days 00:43:00.521000,0 days 00:00:00.949000,11362,287,7,100,False,12,car,80.18444444444442,0.014799928159869835,-488,-1630,140,car,0 days 00:43:00.521000
2024-04-19 07:59:25.998,0 days 00:43:00.681000,0 days 00:00:01.109000,11397,289,7,100,False,12,car,93.02888888888887,0.017170672963906296,-606,-1659,139,car,0 days 00:43:00.681000
2024-04-19 07:59:26.398,0 days 00:43:01.081000,0 days 00:00:01.509000,11485,291,7,100,False,12,car,125.36222222222219,0.023138551320088047,-908,-1732,140,car,0 days 00:43:01.081000
2024-04-19 07:59:26.638,0 days 00:43:01.321000,0 days 00:00:01.749000,11495,292,7,100,False,12,car,144.82888888888888,0.02673158323762428,-1074,-1772,139,car,0 days 00:43:01.321000
2024-04-19 07:59:26.838,0 days 00:43:01.521000,0 days 00:00:01.949000,11529,293,7,100,False,12,car,161.10666666666665,0.029736030588760454,-1292,-1826,138,car,0 days 00:43:01.521000
2024-04-19 07:59:26.997,0 days 00:43:01.680000,0 days 00:00:02.108000,11553,294,7,100,False,12,car,174.09166666666667,0.03213271823169922,-1431,-1861,139,car,0 days 00:43:01.680000
2024-04-19 07:59:27.237,0 days 00:43:01.920000,0 days 00:00:02.348000,11608,294,7,100,False,12,car,193.69166666666666,0.035750359956889806,-1537,-1888,140,car,0 days 00:43:01.920000
2024-04-19 07:59:27.437,0 days 00:43:02.120000,0 days 00:00:02.548000,11624,295,7,92,False,12,car,210.08055555555558,0.038775315481071285,-1697,-1927,139,car,0 days 00:43:02.120000
2024-04-19 07:59:27.597,0 days 00:43:02.280000,0 days 00:00:02.708000,11666,296,7,76,False,8,car,223.23611111111114,0.04120348316963458,-1821,-1958,139,car,0 days 00:43:02.280000
2024-04-19 07:59:27.837,0 days 00:43:02.520000,0 days 00:00:02.948000,11377,294,7,61,False,8,car,242.83611111111114,0.04482112489482517,-1986,-1999,138,car,0 days 00:43:02.520000
2024-04-19 07:59:27.997,0 days 00:43:02.680000,0 days 00:00:03.108000,11237,291,7,39,False,8,car,255.76944444444447,0.047208276237297876,-2154,-2041,139,car,0 days 00:43:02.680000
2024-04-19 07:59:28.197,0 days 00:43:02.880000,0 days 00:00:03.308000,11182,287,7,31,False,8,car,271.7138888888889,0.05015119906929815,-2372,-2095,140,car,0 days 00:43:02.880000
2024-04-19 07:59:28.437,0 days 00:43:03.120000,0 days 00:00:03.548000,11096,282,7,20,False,8,car,290.5138888888889,0.05362118194856259,-2462,-2118,140,car,0 days 00:43:03.120000
2024-04-19 07:59:28.718,0 days 00:43:03.401000,0 days 00:00:03.829000,10647,274,7,0,False,8,car,311.90111111111116,0.057568697637186805,-2665,-2167,140,car,0 days 00:43:03.401000
2024-04-19 07:59:28.878,0 days 00:43:03.561000,0 days 00:00:03.989000,10522,272,7,0,False,8,car,323.99,0.05979998686451524,-2886,-2221,140,car,0 days 00:43:03.561000
2024-04-19 07:59:29.158,0 days 00:43:03.841000,0 days 00:00:04.269000,10154,265,7,19,False,8,car,344.60111111111115,0.06360425296441805,-3124,-2279,140,car,0 days 00:43:03.841000
2024-04-19 07:59:29.478,0 days 00:43:04.161000,0 days 00:00:04.589000,10033,260,7,15,False,8,car,367.7122222222223,0.06786995295784005,-3427,-2353,141,car,0 days 00:43:04.161000
2024-04-19 07:59:29.758,0 days 00:43:04.441000,0 days 00:00:04.869000,9699,252,7,0,True,8,car,387.31222222222226,0.07148759468303063,-3590,-2393,140,car,0 days 00:43:04.441000
2024-04-19 07:59:29.918,0 days 00:43:04.601000,0 days 00:00:05.029000,9567,246,7,0,True,8,car,398.2455555555556,0.07350559891068797,-3657,-2409,140,car,0 days 00:43:04.601000
2024-04-19 07:59:30.118,0 days 00:43:04.801000,0 days 00:00:05.229000,9422,240,7,0,True,8,car,411.57888888888897,0.07596657967612375,-3748,-2430,140,car,0 days 00:43:04.801000
2024-04-19 07:59:30.318,0 days 00:43:05.001000,0 days 00:00:05.429000,9025,233,7,0,True,8,car,424.5233333333334,0.07835578183590099,-3907,-2469,139,car,0 days 00:43:05.001000
2024-04-19 07:59:30.518,0 days 00:43:05.201000,0 days 00:00:05.629000,8728,224,7,0,True,8,car,436.9677777777778,0.08065269721697436,-4030,-2495,138,car,0 days 00:43:05.201000
2024-04-19 07:59:30.678,0 days 00:43:05.361000,0 days 00:00:05.789000,8728,220,7,0,True,8,car,446.7455555555556,0.0824574164449606,-4117,-2513,139,car,0 days 00:43:05.361000
2024-04-19 07:59:30.998,0 days 00:43:05.681000,0 days 00:00:06.109000,8225,205,7,0,True,8,car,464.9677777777778,0.08582075682438949,-4293,-2542,139,car,0 days 00:43:05.681000
2024-04-19 07:59:31.158,0 days 00:43:05.841000,0 days 00:00:06.269000,8833,201,7,0,True,8,car,473.90111111111116,0.08746961393723146,-4378,-2552,139,car,0 days 00:43:05.841000
