Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-11-23 06:13:45.579,0 days 00:27:15.213000,0 days 00:00:00.253000,11097,281,7,99,False,8,car,19.766666666666673,0.0032054097370401847,2123,-552,6063,car,0 days 00:27:15.213000
2024-11-23 06:13:45.819,0 days 00:27:15.453000,0 days 00:00:00.493000,11176,283,7,100,False,8,car,38.63333333333334,0.006264873330909904,2245,-409,6063,car,0 days 00:27:15.453000
2024-11-23 06:13:46.099,0 days 00:27:15.733000,0 days 00:00:00.773000,11077,284,7,59,False,8,car,60.72222222222223,0.009846860153414618,2431,-200,6063,car,0 days 00:27:15.733000
2024-11-23 06:13:46.299,0 days 00:27:15.933000,0 days 00:00:00.973000,10976,283,7,0,False,8,car,76.44444444444444,0.01239641314830605,2547,-73,6064,car,0 days 00:27:15.933000
2024-11-23 06:13:46.538,0 days 00:27:16.172000,0 days 00:00:01.212000,10608,278,7,0,False,8,pos,94.90055555555556,0.015389300075630725,2631,20,6064,car,0 days 00:27:16.172000
2024-11-23 06:13:46.738,0 days 00:27:16.372000,0 days 00:00:01.412000,10666,273,7,0,True,8,car,110.06722222222221,0.017848762858688538,2728,130,6063,car,0 days 00:27:16.372000
2024-11-23 06:13:47.099,0 days 00:27:16.733000,0 days 00:00:01.773000,9810,259,7,0,True,8,car,136.03916666666666,0.022060435216804335,2899,320,6063,car,0 days 00:27:16.733000
2024-11-23 06:13:47.459,0 days 00:27:17.093000,0 days 00:00:02.133000,9233,237,7,0,True,8,car,159.73916666666668,0.02590368365362655,3061,501,6064,car,0 days 00:27:17.093000
2024-11-23 06:13:47.819,0 days 00:27:17.453000,0 days 00:00:02.493000,8351,219,7,0,True,8,car,181.63916666666665,0.029455039804107828,3213,670,6063,car,0 days 00:27:17.453000
2024-11-23 06:13:48.059,0 days 00:27:17.693000,0 days 00:00:02.733000,7813,201,7,0,True,8,car,195.03916666666666,0.031628015713534734,3307,775,6063,car,0 days 00:27:17.693000
2024-11-23 06:13:48.459,0 days 00:27:18.093000,0 days 00:00:03.133000,8644,177,6,0,True,8,car,214.70583333333332,0.03481720921244486,3449,932,6064,car,0 days 00:27:18.093000
2024-11-23 06:13:48.899,0 days 00:27:18.533000,0 days 00:00:03.573000,8650,155,4,0,True,8,car,233.65027777777777,0.03788928543597129,3592,1089,6062,car,0 days 00:27:18.533000
2024-11-23 06:13:49.259,0 days 00:27:18.893000,0 days 00:00:03.933000,8793,135,4,0,True,8,car,247.15027777777777,0.04007847758352825,3684,1200,6062,car,0 days 00:27:18.893000
2024-11-23 06:13:49.659,0 days 00:27:19.293000,0 days 00:00:04.333000,8444,121,3,0,True,8,car,260.59472222222223,0.04225866070990184,3746,1301,6063,car,0 days 00:27:19.293000
2024-11-23 06:13:49.899,0 days 00:27:19.533000,0 days 00:00:04.573000,7946,119,3,0,True,8,car,268.52805555555557,0.043545148934885924,3774,1373,6063,car,0 days 00:27:19.533000
2024-11-23 06:13:50.219,0 days 00:27:19.853000,0 days 00:00:04.893000,7510,110,3,0,True,8,car,278.30583333333334,0.04513073666315763,3791,1470,6064,car,0 days 00:27:19.853000
2024-11-23 06:13:50.499,0 days 00:27:20.133000,0 days 00:00:05.173000,7254,105,3,0,True,8,car,286.4725,0.04645506277711184,3788,1553,6063,car,0 days 00:27:20.133000
2024-11-23 06:13:50.859,0 days 00:27:20.493000,0 days 00:00:05.533000,6881,99,3,0,False,8,car,296.37250000000006,0.04806047035198695,3764,1650,6064,car,0 days 00:27:20.493000
2024-11-23 06:13:51.059,0 days 00:27:20.693000,0 days 00:00:05.733000,7104,97,3,5,False,8,car,301.7613888888889,0.04893434540677305,3741,1699,6063,car,0 days 00:27:20.693000
2024-11-23 06:13:51.339,0 days 00:27:20.973000,0 days 00:00:06.013000,6995,96,3,5,False,8,car,309.2280555555556,0.0501451578538169,3702,1764,6062,car,0 days 00:27:20.973000
2024-11-23 06:13:51.579,0 days 00:27:21.213000,0 days 00:00:06.253000,6987,96,3,14,False,8,car,315.6280555555556,0.0511829970941402,3661,1814,6063,car,0 days 00:27:21.213000
2024-11-23 06:13:51.739,0 days 00:27:21.373000,0 days 00:00:06.413000,7013,96,3,19,False,8,car,319.89472222222224,0.05187488992102239,3631,1844,6062,car,0 days 00:27:21.373000
2024-11-23 06:13:51.979,0 days 00:27:21.613000,0 days 00:00:06.653000,7179,98,3,23,False,8,car,326.42805555555555,0.052934350812185754,3580,1884,6061,car,0 days 00:27:21.613000
2024-11-23 06:13:52.419,0 days 00:27:22.053000,0 days 00:00:07.093000,7527,101,3,27,False,8,car,338.7725,0.05493615531912878,3474,1942,6061,car,0 days 00:27:22.053000
2024-11-23 06:13:52.699,0 days 00:27:22.333000,0 days 00:00:07.373000,7777,104,3,28,False,8,car,346.8613888888889,0.05624786880342628,3398,1966,6059,car,0 days 00:27:22.333000
2024-11-23 06:13:53.019,0 days 00:27:22.653000,0 days 00:00:07.693000,7983,107,3,31,False,8,car,356.3725,0.05779021323001785,3305,1986,6059,car,0 days 00:27:22.653000
