Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-27 21:44:25.196,0 days 02:36:52.045000,0 days 00:00:00.332000,10763,267,7,100,False,0,car,24.670000000000005,0.005769496118199441,108,1167,22271,car,0 days 02:36:52.045000
2024-10-27 21:44:25.476,0 days 02:36:52.325000,0 days 00:00:00.612000,10874,272,7,100,False,0,car,45.82555555555556,0.010717080052375783,241,1146,22270,car,0 days 02:36:52.325000
2024-10-27 21:44:25.796,0 days 02:36:52.645000,0 days 00:00:00.932000,11102,275,7,100,False,0,car,70.27000000000001,0.016433826194806433,591,1086,22273,car,0 days 02:36:52.645000
2024-10-27 21:44:26.196,0 days 02:36:53.045000,0 days 00:00:01.332000,11236,283,7,100,False,0,car,101.71444444444445,0.02378764055075131,870,1040,22271,car,0 days 02:36:53.045000
2024-10-27 21:44:26.435,0 days 02:36:53.284000,0 days 00:00:01.571000,11345,284,7,100,False,0,car,120.56888888888889,0.02819707079124702,1001,1019,22270,car,0 days 02:36:53.284000
2024-10-27 21:44:26.635,0 days 02:36:53.484000,0 days 00:00:01.771000,11452,287,7,100,False,0,car,136.51333333333332,0.0319259483886961,1141,996,22271,car,0 days 02:36:53.484000
2024-10-27 21:44:26.795,0 days 02:36:53.644000,0 days 00:00:01.931000,11526,290,7,100,False,0,car,149.40222222222224,0.03494023271834135,1271,974,22271,car,0 days 02:36:53.644000
2024-10-27 21:44:26.996,0 days 02:36:53.845000,0 days 00:00:02.132000,11494,291,7,100,False,0,car,165.64972222222224,0.03873998497535171,1431,949,22270,car,0 days 02:36:53.845000
2024-10-27 21:44:27.156,0 days 02:36:54.005000,0 days 00:00:02.292000,10529,291,7,100,False,0,car,178.58305555555555,0.04176466338889228,1612,922,22271,car,0 days 02:36:54.005000
2024-10-27 21:44:27.476,0 days 02:36:54.325000,0 days 00:00:02.612000,10637,298,8,100,False,0,car,205.07194444444445,0.047959537390508046,1935,873,22270,car,0 days 02:36:54.325000
2024-10-27 21:44:27.636,0 days 02:36:54.485000,0 days 00:00:02.772000,10651,298,8,100,False,0,car,218.31638888888887,0.051056974391315915,2041,857,22271,car,0 days 02:36:54.485000
2024-10-27 21:44:27.796,0 days 02:36:54.645000,0 days 00:00:02.932000,10722,300,8,100,False,0,car,231.6497222222222,0.054175199559914455,2115,846,22271,car,0 days 02:36:54.645000
2024-10-27 21:44:27.996,0 days 02:36:54.845000,0 days 00:00:03.132000,10779,302,8,100,False,0,car,248.4275,0.05809896623040095,2249,826,22270,car,0 days 02:36:54.845000
2024-10-27 21:44:28.156,0 days 02:36:55.005000,0 days 00:00:03.292000,10882,303,8,100,False,0,car,261.89416666666665,0.06124837365068546,2399,803,22271,car,0 days 02:36:55.005000
2024-10-27 21:44:28.516,0 days 02:36:55.365000,0 days 00:00:03.652000,10969,307,8,100,False,0,car,292.5941666666667,0.0684280871013836,2686,759,22270,car,0 days 02:36:55.365000
2024-10-27 21:44:28.756,0 days 02:36:55.605000,0 days 00:00:03.892000,11002,308,8,100,False,0,car,313.1275,0.07323015386102534,2922,723,22271,car,0 days 02:36:55.605000
2024-10-27 21:44:28.956,0 days 02:36:55.805000,0 days 00:00:04.092000,11019,310,8,100,False,0,car,330.3497222222222,0.07725786137046511,3109,695,22270,car,0 days 02:36:55.805000
