Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-03-09 18:23:18.754,0 days 02:19:03.534000,0 days 00:00:00.309000,10761,303,8,100,False,0,car,26.01666666666667,0.004269505247944933,-1393,494,117,car,0 days 02:19:03.534000
2024-03-09 18:23:18.994,0 days 02:19:03.774000,0 days 00:00:00.549000,10816,305,8,100,False,0,car,46.35000000000001,0.007606338305275374,-1460,679,117,car,0 days 02:19:03.774000
2024-03-09 18:23:19.194,0 days 02:19:03.974000,0 days 00:00:00.749000,10835,305,8,100,False,0,car,63.29444444444445,0.010387032519717407,-1515,828,117,car,0 days 02:19:03.974000
2024-03-09 18:23:19.714,0 days 02:19:04.494000,0 days 00:00:01.269000,10955,308,8,100,False,0,car,107.78333333333333,0.01768795031291472,-1686,1293,117,car,0 days 02:19:04.494000
2024-03-09 18:23:19.954,0 days 02:19:04.734000,0 days 00:00:01.509000,10956,310,8,100,False,0,car,128.45,0.021079485551512872,-1752,1473,116,car,0 days 02:19:04.734000
2024-03-09 18:23:20.194,0 days 02:19:04.974000,0 days 00:00:01.749000,11016,310,8,100,False,0,car,149.11666666666667,0.024471020790111025,-1841,1717,117,car,0 days 02:19:04.974000
2024-03-09 18:23:20.394,0 days 02:19:05.174000,0 days 00:00:01.949000,11043,311,8,100,False,0,car,166.39444444444445,0.02730641718582077,-1875,1807,117,car,0 days 02:19:05.174000
2024-03-09 18:23:20.714,0 days 02:19:05.494000,0 days 00:00:02.269000,10938,312,8,100,False,0,car,194.1277777777778,0.03185763866729442,-1969,2066,117,car,0 days 02:19:05.494000
2024-03-09 18:23:20.874,0 days 02:19:05.654000,0 days 00:00:02.429000,11100,311,8,100,False,0,car,207.95,0.03412595578386222,-2016,2194,116,car,0 days 02:19:05.654000
2024-03-09 18:23:21.074,0 days 02:19:05.854000,0 days 00:00:02.629000,10983,311,8,100,False,0,car,225.2277777777778,0.036961352179571964,-2077,2362,117,car,0 days 02:19:05.854000
2024-03-09 18:23:21.274,0 days 02:19:06.054000,0 days 00:00:02.829000,11028,311,8,100,False,0,car,242.5055555555556,0.03979674857528172,-2171,2623,117,car,0 days 02:19:06.054000
2024-03-09 18:23:21.755,0 days 02:19:06.535000,0 days 00:00:03.310000,11078,310,8,100,False,0,car,283.925,0.04659395044930551,-2263,2948,117,car,0 days 02:19:06.535000
2024-03-09 18:23:21.915,0 days 02:19:06.695000,0 days 00:00:03.470000,10957,309,8,100,False,0,car,297.65833333333336,0.04884768031753525,-2300,3087,118,car,0 days 02:19:06.695000
2024-03-09 18:23:22.115,0 days 02:19:06.895000,0 days 00:00:03.670000,10851,308,8,100,False,0,car,314.76944444444445,0.051655725622611136,-2345,3250,117,car,0 days 02:19:06.895000
2024-03-09 18:23:22.275,0 days 02:19:07.055000,0 days 00:00:03.830000,10830,307,8,100,False,0,car,328.4138888888889,0.05389486824250282,-2394,3429,118,car,0 days 02:19:07.055000
2024-03-09 18:23:22.435,0 days 02:19:07.215000,0 days 00:00:03.990000,10746,306,8,100,False,0,car,342.0138888888889,0.05612671723822548,-2435,3580,118,car,0 days 02:19:07.215000
2024-03-09 18:23:22.675,0 days 02:19:07.455000,0 days 00:00:04.230000,10328,303,8,0,False,0,car,362.21388888888896,0.05944166942304884,-2472,3714,118,car,0 days 02:19:07.455000
2024-03-09 18:23:22.835,0 days 02:19:07.615000,0 days 00:00:04.390000,10380,295,8,0,True,0,car,375.325,0.06159328855291217,-2505,3833,118,car,0 days 02:19:07.615000
2024-03-09 18:23:23.115,0 days 02:19:07.895000,0 days 00:00:04.670000,9367,256,8,0,True,0,car,395.23611111111114,0.06486083218063685,-2577,4095,117,car,0 days 02:19:07.895000
2024-03-09 18:23:23.275,0 days 02:19:08.055000,0 days 00:00:04.830000,8966,230,8,0,True,0,car,405.45833333333337,0.06653836573951336,-2606,4203,116,car,0 days 02:19:08.055000
2024-03-09 18:23:23.475,0 days 02:19:08.255000,0 days 00:00:05.030000,9857,206,8,0,True,0,car,416.9027777777778,0.06841647396303814,-2626,4270,117,car,0 days 02:19:08.255000
2024-03-09 18:23:23.715,0 days 02:19:08.495000,0 days 00:00:05.270000,9750,185,8,0,True,0,car,429.23611111111114,0.07044045466994349,-2664,4388,116,car,0 days 02:19:08.495000
2024-03-09 18:23:23.995,0 days 02:19:08.775000,0 days 00:00:05.550000,9234,158,7,0,True,0,car,441.52500000000003,0.07245714175267981,-2696,4472,116,car,0 days 02:19:08.775000
2024-03-09 18:23:24.195,0 days 02:19:08.975000,0 days 00:00:05.750000,9794,152,5,0,True,0,car,449.9694444444445,0.0738429303447952,-2739,4567,115,car,0 days 02:19:08.975000
2024-03-09 18:23:24.434,0 days 02:19:09.214000,0 days 00:00:05.989000,9448,137,3,0,True,0,car,459.06472222222226,0.07533552494583577,-2774,4628,115,car,0 days 02:19:09.214000
2024-03-09 18:23:24.634,0 days 02:19:09.414000,0 days 00:00:06.189000,8940,128,3,0,True,0,car,466.1758333333334,0.0765025048128803,-2812,4679,114,car,0 days 02:19:09.414000
2024-03-09 18:23:25.034,0 days 02:19:09.814000,0 days 00:00:06.589000,8338,116,3,0,True,0,car,479.0647222222223,0.0786176558218985,-2912,4759,113,car,0 days 02:19:09.814000
2024-03-09 18:23:25.394,0 days 02:19:10.174000,0 days 00:00:06.949000,7413,107,3,0,True,0,car,489.7647222222223,0.08037359584059206,-3016,4785,113,car,0 days 02:19:10.174000
2024-03-09 18:23:25.674,0 days 02:19:10.454000,0 days 00:00:07.229000,7273,101,3,11,False,0,car,497.62027777777786,0.08166274391246782,-3093,4774,114,car,0 days 02:19:10.454000
2024-03-09 18:23:25.954,0 days 02:19:10.734000,0 days 00:00:07.509000,7536,100,3,29,False,0,car,505.39805555555563,0.08293912814204776,-3204,4754,116,car,0 days 02:19:10.734000
2024-03-09 18:23:26.114,0 days 02:19:10.894000,0 days 00:00:07.669000,7439,101,3,22,True,0,car,509.8869444444445,0.08367578418311962,-3256,4745,117,car,0 days 02:19:10.894000
2024-03-09 18:23:26.394,0 days 02:19:11.174000,0 days 00:00:07.949000,6777,97,3,0,True,0,car,517.4313888888889,0.08491387688581216,-3292,4747,118,car,0 days 02:19:11.174000
2024-03-09 18:23:26.634,0 days 02:19:11.414000,0 days 00:00:08.189000,6421,92,3,0,True,0,car,523.5647222222223,0.08592039702113807,-3373,4760,118,car,0 days 02:19:11.414000
2024-03-09 18:23:26.794,0 days 02:19:11.574000,0 days 00:00:08.349000,6220,89,3,0,True,0,car,527.5202777777778,0.08656952957218157,-3419,4786,119,car,0 days 02:19:11.574000
2024-03-09 18:23:26.954,0 days 02:19:11.734000,0 days 00:00:08.509000,5945,87,3,0,False,0,car,531.3869444444445,0.08720407487488704,-3451,4814,118,car,0 days 02:19:11.734000
2024-03-09 18:23:27.194,0 days 02:19:11.974000,0 days 00:00:08.749000,5747,81,3,0,False,0,car,536.7869444444444,0.08809025021142397,-3475,4850,118,car,0 days 02:19:11.974000
2024-03-09 18:23:27.394,0 days 02:19:12.174000,0 days 00:00:08.949000,5870,80,3,5,False,0,car,541.2313888888889,0.0888196126283268,-3494,4890,118,car,0 days 02:19:12.174000
2024-03-09 18:23:27.594,0 days 02:19:12.374000,0 days 00:00:09.149000,5945,79,3,16,False,0,car,545.6202777777778,0.08953985801501835,-3507,4934,119,car,0 days 02:19:12.374000
2024-03-09 18:23:27.834,0 days 02:19:12.614000,0 days 00:00:09.389000,6319,83,3,28,False,0,car,551.1536111111111,0.09044791422406237,-3513,4989,119,car,0 days 02:19:12.614000
2024-03-09 18:23:28.075,0 days 02:19:12.855000,0 days 00:00:09.630000,6708,86,3,35,False,0,car,556.9108333333334,0.09139271206485787,-3513,5040,118,car,0 days 02:19:12.855000
2024-03-09 18:23:28.275,0 days 02:19:13.055000,0 days 00:00:09.830000,6946,91,3,40,False,0,car,561.9663888888889,0.09222236181408484,-3509,5129,119,car,0 days 02:19:13.055000
2024-03-09 18:23:28.715,0 days 02:19:13.495000,0 days 00:00:10.270000,7576,100,3,52,False,0,car,574.1886111111111,0.09422810846056762,-3501,5209,119,car,0 days 02:19:13.495000
2024-03-09 18:23:28.955,0 days 02:19:13.735000,0 days 00:00:10.510000,7856,110,3,68,False,0,car,581.5219444444444,0.09543155644845729,-3492,5281,119,car,0 days 02:19:13.735000
2024-03-09 18:23:29.195,0 days 02:19:13.975000,0 days 00:00:10.750000,8703,119,3,71,False,0,car,589.4552777777778,0.09673346836262885,-3481,5355,119,car,0 days 02:19:13.975000
2024-03-09 18:23:29.515,0 days 02:19:14.295000,0 days 00:00:11.070000,10037,133,3,88,False,0,car,601.2775,0.09867357239159036,-3454,5494,119,car,0 days 02:19:14.295000
2024-03-09 18:23:29.715,0 days 02:19:14.495000,0 days 00:00:11.270000,10390,142,3,92,False,0,car,609.166388888889,0.09996819068159289,-3439,5566,120,car,0 days 02:19:14.495000
2024-03-09 18:23:29.875,0 days 02:19:14.655000,0 days 00:00:11.430000,11510,154,3,100,False,0,car,616.0108333333334,0.10109140880362324,-3430,5609,120,car,0 days 02:19:14.655000
2024-03-09 18:23:30.155,0 days 02:19:14.935000,0 days 00:00:11.710000,11440,168,3,100,False,0,car,629.0775000000001,0.10323573430931757,-3403,5726,118,car,0 days 02:19:14.935000
2024-03-09 18:23:30.355,0 days 02:19:15.135000,0 days 00:00:11.910000,10876,173,4,100,False,0,car,638.6886111111112,0.10481298053586993,-3384,5821,117,car,0 days 02:19:15.135000
2024-03-09 18:23:30.555,0 days 02:19:15.335000,0 days 00:00:12.110000,10946,182,4,100,False,0,car,648.7997222222223,0.10647228003432385,-3356,5982,115,car,0 days 02:19:15.335000
2024-03-09 18:23:30.795,0 days 02:19:15.575000,0 days 00:00:12.350000,11371,190,4,100,False,0,car,661.4663888888889,0.10855096292249691,-3337,6117,113,car,0 days 02:19:15.575000
2024-03-09 18:23:30.995,0 days 02:19:15.775000,0 days 00:00:12.550000,11389,194,4,100,False,0,car,672.2441666666667,0.11031966678348629,-3334,6205,113,car,0 days 02:19:15.775000
2024-03-09 18:23:31.274,0 days 02:19:16.054000,0 days 00:00:12.829000,10924,204,5,100,False,0,car,688.0541666666667,0.11291419124101386,-3336,6388,114,car,0 days 02:19:16.054000
2024-03-09 18:23:31.594,0 days 02:19:16.374000,0 days 00:00:13.149000,11211,220,5,100,False,0,car,707.6097222222221,0.11612338587538629,-3344,6531,113,car,0 days 02:19:16.374000
2024-03-09 18:23:31.794,0 days 02:19:16.574000,0 days 00:00:13.349000,11554,225,5,100,False,0,car,720.1097222222222,0.1181747176729255,-3353,6621,114,car,0 days 02:19:16.574000
2024-03-09 18:23:31.994,0 days 02:19:16.774000,0 days 00:00:13.549000,11760,230,5,100,False,0,car,732.8874999999999,0.12027163462152113,-3368,6751,113,car,0 days 02:19:16.774000
2024-03-09 18:23:32.394,0 days 02:19:17.174000,0 days 00:00:13.949000,10657,239,6,100,False,0,car,759.4430555555555,0.12462957506251553,-3414,7114,114,car,0 days 02:19:17.174000
