Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-07-07 14:08:06.981,0 days 01:03:09.952000,0 days 00:00:00.048000,11642,254,6,100,False,0,car,3.3866666666666685,0.0005795403159607026,-1721,1256,1963,car,0 days 01:03:09.952000
2024-07-07 14:08:07.181,0 days 01:03:10.152000,0 days 00:00:00.248000,11763,257,6,100,False,0,car,17.66444444444445,0.003022812317304215,-1630,1374,1964,car,0 days 01:03:10.152000
2024-07-07 14:08:08.061,0 days 01:03:11.032000,0 days 00:00:01.128000,10804,271,7,100,False,0,car,83.90888888888887,0.014358833851942358,-1213,1917,1970,car,0 days 01:03:11.032000
2024-07-07 14:08:08.461,0 days 01:03:11.432000,0 days 00:00:01.528000,11027,275,7,100,False,0,car,114.46444444444444,0.019587626072716413,-1062,2125,1972,car,0 days 01:03:11.432000
2024-07-07 14:08:08.621,0 days 01:03:11.592000,0 days 00:00:01.688000,11057,278,7,100,False,0,car,126.82,0.021701959508898503,-988,2226,1974,car,0 days 01:03:11.592000
2024-07-07 14:08:08.821,0 days 01:03:11.792000,0 days 00:00:01.888000,11197,280,7,100,False,0,car,142.37555555555554,0.02436389009401984,-897,2350,1976,car,0 days 01:03:11.792000
2024-07-07 14:08:09.181,0 days 01:03:12.152000,0 days 00:00:02.248000,11300,283,7,100,False,0,car,170.67555555555555,0.0292067023799513,-732,2578,1979,car,0 days 01:03:12.152000
2024-07-07 14:08:09.501,0 days 01:03:12.472000,0 days 00:00:02.568000,11409,286,7,100,False,0,car,196.09777777777776,0.03355705750763531,-587,2782,1983,car,0 days 01:03:12.472000
2024-07-07 14:08:09.741,0 days 01:03:12.712000,0 days 00:00:02.808000,11508,287,7,100,False,0,car,215.2311111111111,0.03683123212733455,-491,2925,1984,car,0 days 01:03:12.712000
2024-07-07 14:08:09.941,0 days 01:03:12.912000,0 days 00:00:03.008000,11529,289,7,100,False,0,car,231.28666666666666,0.03957872476697765,-387,3078,1988,car,0 days 01:03:12.912000
2024-07-07 14:08:10.341,0 days 01:03:13.312000,0 days 00:00:03.408000,11671,291,7,100,False,0,car,263.62,0.045111737626051286,-159,3420,1994,car,0 days 01:03:13.312000
2024-07-07 14:08:10.501,0 days 01:03:13.472000,0 days 00:00:03.568000,11683,292,7,100,False,0,car,276.5977777777778,0.04733254828563824,-129,3462,1994,car,0 days 01:03:13.472000
2024-07-07 14:08:10.741,0 days 01:03:13.712000,0 days 00:00:03.808000,11782,294,7,100,False,0,car,296.1977777777778,0.05068658082289111,-19,3616,1996,car,0 days 01:03:13.712000
2024-07-07 14:08:10.981,0 days 01:03:13.952000,0 days 00:00:04.048000,11835,297,7,100,False,0,car,315.9977777777778,0.0540748381819527,149,3835,2001,car,0 days 01:03:13.952000
2024-07-07 14:08:11.141,0 days 01:03:14.112000,0 days 00:00:04.208000,11864,297,7,100,False,0,car,329.1977777777778,0.05633367642132709,207,3908,2003,car,0 days 01:03:14.112000
2024-07-07 14:08:11.461,0 days 01:03:14.432000,0 days 00:00:04.528000,11740,297,7,65,False,0,car,355.59777777777776,0.06085135290007587,345,4061,2008,car,0 days 01:03:14.432000
2024-07-07 14:08:11.661,0 days 01:03:14.632000,0 days 00:00:04.728000,11536,293,7,43,False,0,car,371.87555555555554,0.06363687311950642,463,4175,2010,car,0 days 01:03:14.632000
2024-07-07 14:08:11.821,0 days 01:03:14.792000,0 days 00:00:04.888000,11546,289,7,60,False,0,car,384.71999999999997,0.06583486723122088,558,4255,2011,car,0 days 01:03:14.792000
2024-07-07 14:08:12.101,0 days 01:03:15.072000,0 days 00:00:05.168000,11292,285,7,61,False,0,car,406.88666666666666,0.06962811831501879,748,4374,2013,car,0 days 01:03:15.072000
2024-07-07 14:08:12.341,0 days 01:03:15.312000,0 days 00:00:05.408000,11292,278,7,80,False,0,car,425.42,0.07279961846929194,914,4444,2013,car,0 days 01:03:15.312000
2024-07-07 14:08:12.581,0 days 01:03:15.552000,0 days 00:00:05.648000,11229,278,7,100,False,0,car,443.9533333333333,0.07597111862356506,1102,4491,2015,car,0 days 01:03:15.552000
2024-07-07 14:08:12.860,0 days 01:03:15.831000,0 days 00:00:05.927000,11182,279,7,100,False,0,car,465.5758333333333,0.07967124967135845,1320,4515,2016,car,0 days 01:03:15.831000
2024-07-07 14:08:13.140,0 days 01:03:16.111000,0 days 00:00:06.207000,11198,279,7,100,False,0,car,487.27583333333337,0.08338464283760272,1588,4519,2020,car,0 days 01:03:16.111000
2024-07-07 14:08:13.380,0 days 01:03:16.351000,0 days 00:00:06.447000,11223,280,7,100,False,0,car,505.94250000000005,0.08657895953974833,1714,4510,2022,car,0 days 01:03:16.351000
2024-07-07 14:08:13.861,0 days 01:03:16.832000,0 days 00:00:06.928000,11267,282,7,100,False,0,car,543.6208333333334,0.09302663076165955,2088,4462,2026,car,0 days 01:03:16.832000
2024-07-07 14:08:14.061,0 days 01:03:17.032000,0 days 00:00:07.128000,11315,284,7,100,False,0,car,559.3986111111112,0.09572658892656834,2246,4446,2027,car,0 days 01:03:17.032000
2024-07-07 14:08:14.221,0 days 01:03:17.192000,0 days 00:00:07.288000,11346,284,7,100,False,0,car,572.0208333333335,0.09788655545849538,2370,4439,2029,car,0 days 01:03:17.192000
2024-07-07 14:08:14.381,0 days 01:03:17.352000,0 days 00:00:07.448000,11387,284,7,100,False,0,car,584.6430555555557,0.10004652199042241,2497,4439,2030,car,0 days 01:03:17.352000
2024-07-07 14:08:14.621,0 days 01:03:17.592000,0 days 00:00:07.688000,11360,283,7,100,False,0,car,603.5097222222223,0.1032750635143767,2785,4466,2034,car,0 days 01:03:17.592000
2024-07-07 14:08:14.901,0 days 01:03:17.872000,0 days 00:00:07.968000,11351,282,7,100,False,0,car,625.4430555555557,0.10702838563939779,2931,4497,2036,car,0 days 01:03:17.872000
2024-07-07 14:08:15.061,0 days 01:03:18.032000,0 days 00:00:08.128000,11333,282,7,100,False,0,car,637.976388888889,0.10917314113940983,3036,4531,2038,car,0 days 01:03:18.032000
2024-07-07 14:08:15.341,0 days 01:03:18.312000,0 days 00:00:08.408000,11315,282,7,100,False,0,car,659.9097222222223,0.11292646326443091,3251,4624,2042,car,0 days 01:03:18.312000
2024-07-07 14:08:15.541,0 days 01:03:18.512000,0 days 00:00:08.608000,11310,283,7,100,False,0,car,675.6319444444446,0.11561691453439285,3378,4700,2044,car,0 days 01:03:18.512000
2024-07-07 14:08:15.741,0 days 01:03:18.712000,0 days 00:00:08.808000,11265,283,7,100,False,0,car,691.3541666666667,0.11830736580435476,3524,4808,2046,car,0 days 01:03:18.712000
2024-07-07 14:08:16.021,0 days 01:03:18.992000,0 days 00:00:09.088000,11225,281,7,100,False,0,car,713.2097222222222,0.12204737827645022,3718,4971,2049,car,0 days 01:03:18.992000
2024-07-07 14:08:16.181,0 days 01:03:19.152000,0 days 00:00:09.248000,11183,281,7,100,False,0,car,725.6986111111112,0.12418452826050479,3781,5035,2048,car,0 days 01:03:19.152000
2024-07-07 14:08:16.541,0 days 01:03:19.512000,0 days 00:00:09.608000,11174,280,7,100,False,0,car,753.6986111111113,0.12897600331372322,3969,5225,2050,car,0 days 01:03:19.512000
2024-07-07 14:08:16.981,0 days 01:03:19.952000,0 days 00:00:10.048000,10004,250,7,0,True,0,car,784.2541666666668,0.13420479553449727,4202,5448,2051,car,0 days 01:03:19.952000
2024-07-07 14:08:17.261,0 days 01:03:20.232000,0 days 00:00:10.328000,8661,240,7,0,True,0,car,802.9208333333335,0.13739911223664286,4340,5571,2053,car,0 days 01:03:20.232000
2024-07-07 14:08:17.421,0 days 01:03:20.392000,0 days 00:00:10.488000,9279,201,7,0,True,0,car,811.8541666666669,0.13892782094409828,4413,5634,2053,car,0 days 01:03:20.392000
2024-07-07 14:08:17.621,0 days 01:03:20.592000,0 days 00:00:10.688000,9472,183,7,0,True,0,car,822.0208333333336,0.14066758271937402,4503,5708,2054,car,0 days 01:03:20.592000
2024-07-07 14:08:17.981,0 days 01:03:20.952000,0 days 00:00:11.048000,8271,163,5,0,True,0,car,838.3208333333336,0.1434569056967833,4632,5808,2055,car,0 days 01:03:20.952000
2024-07-07 14:08:18.181,0 days 01:03:21.152000,0 days 00:00:11.248000,9257,151,5,0,True,0,car,846.7097222222225,0.14489244683375946,4702,5851,2054,car,0 days 01:03:21.152000
2024-07-07 14:08:18.421,0 days 01:03:21.392000,0 days 00:00:11.488000,8406,137,5,0,True,0,car,855.8430555555558,0.14645538036302355,4789,5885,2054,car,0 days 01:03:21.392000
2024-07-07 14:08:18.741,0 days 01:03:21.712000,0 days 00:00:11.808000,7558,126,4,0,True,0,car,867.0430555555558,0.1483719703843109,4904,5901,2053,car,0 days 01:03:21.712000
2024-07-07 14:08:19.021,0 days 01:03:21.992000,0 days 00:00:12.088000,7140,116,4,0,True,0,car,876.0652777777781,0.14991589012368128,4998,5893,2052,car,0 days 01:03:21.992000
2024-07-07 14:08:19.381,0 days 01:03:22.352000,0 days 00:00:12.448000,6525,108,4,0,True,0,car,886.8652777777781,0.15176403050135126,5107,5860,2054,car,0 days 01:03:22.352000
2024-07-07 14:08:19.860,0 days 01:03:22.831000,0 days 00:00:12.927000,6096,99,4,0,False,0,car,900.0377777777782,0.15401816282772696,5218,5784,2056,car,0 days 01:03:22.831000
2024-07-07 14:08:20.061,0 days 01:03:23.032000,0 days 00:00:13.128000,6429,97,4,15,False,0,car,905.4536111111115,0.1549449424816218,5261,5735,2057,car,0 days 01:03:23.032000
2024-07-07 14:08:20.301,0 days 01:03:23.272000,0 days 00:00:13.368000,6478,100,4,36,False,0,car,912.1202777777781,0.15608576987524522,5308,5666,2059,car,0 days 01:03:23.272000
2024-07-07 14:08:20.621,0 days 01:03:23.592000,0 days 00:00:13.688000,6766,105,4,45,False,0,car,921.4536111111115,0.15768292822631802,5332,5608,2058,car,0 days 01:03:23.592000
2024-07-07 14:08:21.021,0 days 01:03:23.992000,0 days 00:00:14.088000,7220,110,4,53,False,0,car,933.6758333333337,0.15977444511462763,5369,5483,2059,car,0 days 01:03:23.992000
2024-07-07 14:08:21.421,0 days 01:03:24.392000,0 days 00:00:14.488000,8064,126,4,76,False,0,car,947.6758333333337,0.16217018264123684,5386,5336,2061,car,0 days 01:03:24.392000
2024-07-07 14:08:21.701,0 days 01:03:24.672000,0 days 00:00:14.768000,8237,134,4,80,False,0,car,958.0980555555559,0.16395367613326814,5394,5253,2063,car,0 days 01:03:24.672000
2024-07-07 14:08:21.901,0 days 01:03:24.872000,0 days 00:00:14.968000,9010,142,4,92,True,0,car,965.9869444444448,0.16530365521572254,5402,5183,2064,car,0 days 01:03:24.872000
2024-07-07 14:08:22.341,0 days 01:03:25.312000,0 days 00:00:15.408000,7949,128,4,0,True,0,car,981.6313888888892,0.16798079683275885,5459,4984,2066,car,0 days 01:03:25.312000
2024-07-07 14:08:22.501,0 days 01:03:25.472000,0 days 00:00:15.568000,7414,123,4,0,True,0,car,987.0980555555559,0.16891627529553005,5492,4928,2066,car,0 days 01:03:25.472000
2024-07-07 14:08:22.701,0 days 01:03:25.672000,0 days 00:00:15.768000,8278,115,4,0,True,0,car,993.4869444444448,0.17000956821441918,5529,4879,2066,car,0 days 01:03:25.672000
2024-07-07 14:08:22.861,0 days 01:03:25.832000,0 days 00:00:15.928000,7835,108,4,0,True,0,car,998.2869444444448,0.17083096393782804,5543,4861,2065,car,0 days 01:03:25.832000
2024-07-07 14:08:23.061,0 days 01:03:26.032000,0 days 00:00:16.128000,7507,101,3,0,True,0,car,1003.8980555555559,0.17179116032746108,5566,4839,2064,car,0 days 01:03:26.032000
2024-07-07 14:08:23.381,0 days 01:03:26.352000,0 days 00:00:16.448000,7255,98,3,0,True,0,car,1012.609166666667,0.17328184145512904,5638,4778,2063,car,0 days 01:03:26.352000
2024-07-07 14:08:23.621,0 days 01:03:26.592000,0 days 00:00:16.688000,6854,95,3,0,True,0,car,1018.9425000000002,0.17436562747907128,5695,4749,2064,car,0 days 01:03:26.592000
2024-07-07 14:08:23.981,0 days 01:03:26.952000,0 days 00:00:17.048000,6441,87,3,0,True,0,car,1027.6425000000002,0.17585440722774984,5777,4729,2063,car,0 days 01:03:26.952000
2024-07-07 14:08:24.141,0 days 01:03:27.112000,0 days 00:00:17.208000,6301,85,3,0,False,0,car,1031.420277777778,0.17650087608413648,5808,4733,2064,car,0 days 01:03:27.112000
2024-07-07 14:08:24.381,0 days 01:03:27.352000,0 days 00:00:17.448000,6124,84,3,5,False,0,car,1037.0202777777781,0.17745917109478018,5862,4753,2063,car,0 days 01:03:27.352000
2024-07-07 14:08:24.581,0 days 01:03:27.552000,0 days 00:00:17.648000,6364,84,3,23,False,0,car,1041.6869444444449,0.1782577502703166,5901,4778,2062,car,0 days 01:03:27.552000
2024-07-07 14:08:25.541,0 days 01:03:28.512000,0 days 00:00:18.608000,7760,99,3,50,False,0,car,1068.086944444445,0.18277542674906538,6062,4956,2064,car,0 days 01:03:28.512000
2024-07-07 14:08:25.741,0 days 01:03:28.712000,0 days 00:00:18.808000,8141,106,3,55,False,0,car,1073.9758333333339,0.18378315761343275,6112,5038,2065,car,0 days 01:03:28.712000
2024-07-07 14:08:26.061,0 days 01:03:29.032000,0 days 00:00:19.128000,8850,116,3,64,False,0,car,1084.286944444445,0.18554763731557034,6143,5096,2064,car,0 days 01:03:29.032000
2024-07-07 14:08:26.380,0 days 01:03:29.351000,0 days 00:00:19.447000,9645,127,3,75,False,0,car,1095.540555555556,0.1874734014904814,6199,5235,2064,car,0 days 01:03:29.351000
2024-07-07 14:08:26.701,0 days 01:03:29.672000,0 days 00:00:19.768000,10741,138,3,89,False,0,car,1107.845555555556,0.18957908365226184,6223,5307,2065,car,0 days 01:03:29.672000
2024-07-07 14:08:27.021,0 days 01:03:29.992000,0 days 00:00:20.088000,11603,158,3,100,False,0,car,1121.8900000000006,0.19198242669482854,6268,5464,2064,car,0 days 01:03:29.992000
2024-07-07 14:08:27.181,0 days 01:03:30.152000,0 days 00:00:20.248000,10483,162,4,100,False,0,car,1129.0900000000006,0.19321452027994185,6280,5513,2064,car,0 days 01:03:30.152000
2024-07-07 14:08:27.501,0 days 01:03:30.472000,0 days 00:00:20.568000,11130,174,4,100,False,0,car,1144.5566666666673,0.1958612398331482,6307,5642,2065,car,0 days 01:03:30.472000
2024-07-07 14:08:27.661,0 days 01:03:30.632000,0 days 00:00:20.728000,11550,182,4,100,False,0,car,1152.6455555555563,0.19724544373741132,6320,5732,2064,car,0 days 01:03:30.632000
2024-07-07 14:08:27.901,0 days 01:03:30.872000,0 days 00:00:20.968000,11035,189,4,100,False,0,car,1165.2455555555562,0.1994016075113596,6331,5870,2063,car,0 days 01:03:30.872000
2024-07-07 14:08:28.261,0 days 01:03:31.232000,0 days 00:00:21.328000,10813,202,5,100,False,0,car,1185.4455555555562,0.2028583145140386,6326,6043,2064,car,0 days 01:03:31.232000
2024-07-07 14:08:28.621,0 days 01:03:31.592000,0 days 00:00:21.688000,11380,213,5,100,False,0,car,1206.7455555555562,0.20650325803666544,6297,6251,2062,car,0 days 01:03:31.592000
2024-07-07 14:08:28.941,0 days 01:03:31.912000,0 days 00:00:22.008000,11757,220,5,100,False,0,car,1226.3011111111118,0.20984968505796087,6231,6464,2063,car,0 days 01:03:31.912000
2024-07-07 14:08:29.181,0 days 01:03:32.152000,0 days 00:00:22.248000,11870,225,5,100,False,0,car,1241.301111111112,0.21241654669361362,6170,6610,2062,car,0 days 01:03:32.152000
2024-07-07 14:08:29.421,0 days 01:03:32.392000,0 days 00:00:22.488000,10683,231,6,100,False,0,car,1256.701111111112,0.2150518579728837,6115,6708,2062,car,0 days 01:03:32.392000
2024-07-07 14:08:29.661,0 days 01:03:32.632000,0 days 00:00:22.728000,10868,235,6,100,False,0,car,1272.3677777777787,0.2177328023478988,6033,6833,2063,car,0 days 01:03:32.632000
2024-07-07 14:08:29.901,0 days 01:03:32.872000,0 days 00:00:22.968000,10886,235,6,100,False,0,car,1288.0344444444452,0.2204137467229138,5934,6957,2063,car,0 days 01:03:32.872000
2024-07-07 14:08:30.061,0 days 01:03:33.032000,0 days 00:00:23.128000,11006,240,6,100,False,0,car,1298.701111111112,0.22223907055271133,5863,7034,2064,car,0 days 01:03:33.032000
2024-07-07 14:08:30.261,0 days 01:03:33.232000,0 days 00:00:23.328000,11129,242,6,100,False,0,car,1312.1455555555563,0.2245397391298519,5766,7128,2063,car,0 days 01:03:33.232000
2024-07-07 14:08:30.461,0 days 01:03:33.432000,0 days 00:00:23.528000,11273,246,6,100,False,0,car,1325.8122222222228,0.2268784352867799,5659,7219,2064,car,0 days 01:03:33.432000
2024-07-07 14:08:30.621,0 days 01:03:33.592000,0 days 00:00:23.688000,11327,251,6,100,False,0,car,1336.9677777777783,0.22878741979210976,5568,7292,2064,car,0 days 01:03:33.592000
2024-07-07 14:08:30.901,0 days 01:03:33.872000,0 days 00:00:23.968000,11571,253,6,100,False,0,car,1356.6455555555563,0.23215476198228827,5424,7402,2063,car,0 days 01:03:33.872000
2024-07-07 14:08:31.141,0 days 01:03:34.112000,0 days 00:00:24.208000,11684,256,6,100,False,0,car,1373.7122222222229,0.23507528010996426,5258,7533,2064,car,0 days 01:03:34.112000
2024-07-07 14:08:31.381,0 days 01:03:34.352000,0 days 00:00:24.448000,11795,261,6,100,False,0,car,1391.112222222223,0.2380528396073214,5079,7677,2063,car,0 days 01:03:34.352000
2024-07-07 14:08:31.781,0 days 01:03:34.752000,0 days 00:00:24.848000,10507,263,7,100,False,0,car,1420.3344444444451,0.24305346634937078,4937,7795,2064,car,0 days 01:03:34.752000
2024-07-07 14:08:31.981,0 days 01:03:34.952000,0 days 00:00:25.048000,10654,267,7,100,False,0,car,1435.1677777777784,0.2455918073001829,4821,7893,2063,car,0 days 01:03:34.952000
2024-07-07 14:08:32.261,0 days 01:03:35.232000,0 days 00:00:25.328000,10797,270,7,100,False,0,car,1456.1677777777784,0.2491854135900967,4659,8033,2064,car,0 days 01:03:35.232000
