Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-19 18:07:21.727,0 days 00:49:35.628000,0 days 00:00:00,11447,224,5,100,False,12,car,0.26666666666666394,4.908910311396162e-05,-1268.9337615168085,-440.59398643530096,1301.995262229547,car,0 days 00:49:35.628000
2024-10-19 18:07:21.887,0 days 00:49:35.788000,0 days 00:00:00.160000,10328,224,5,100,False,12,car,10.22222222222222,0.0018817489527018809,-1217.047987463348,-480.39013132364937,1301.9986009621325,car,0 days 00:49:35.788000
2024-10-19 18:07:22.207,0 days 00:49:36.108000,0 days 00:00:00.480000,10940,239,6,100,False,12,car,31.46666666666666,0.00579251416744753,-1055.6984222243389,-602.4114952082948,1302.015461107184,car,0 days 00:49:36.108000
2024-10-19 18:07:22.566,0 days 00:49:36.467000,0 days 00:00:00.839000,11207,246,6,100,False,12,car,55.99833333333332,0.010308404847037581,-863.8558512334189,-750.6784017379244,1302.9278171124838,car,0 days 00:49:36.467000
2024-10-19 18:07:22.886,0 days 00:49:36.787000,0 days 00:00:01.159000,11617,253,6,100,False,12,car,78.48722222222221,0.014448252542981722,-658.8891841220923,-906.904318708938,1301.7497395626197,car,0 days 00:49:36.787000
2024-10-19 18:07:23.286,0 days 00:49:37.187000,0 days 00:00:01.559000,11122,262,6,100,False,12,car,107.59833333333331,0.01980714629958925,-448.8847993753349,-1068.2482271413953,1301.96109644151,car,0 days 00:49:37.187000
2024-10-19 18:07:23.567,0 days 00:49:37.468000,0 days 00:00:01.840000,10760,267,7,100,False,12,car,128.43916666666667,0.023643613111392625,-308.4059051864328,-1176.0855646286786,1302.7024530379151,car,0 days 00:49:37.468000
2024-10-19 18:07:23.927,0 days 00:49:37.828000,0 days 00:00:02.200000,10935,275,7,100,False,12,car,155.93916666666667,0.02870592687001997,4.289228932227152,-1415.718221929066,1304.2129346012252,car,0 days 00:49:37.828000
2024-10-19 18:07:24.167,0 days 00:49:38.068000,0 days 00:00:02.440000,11071,278,7,100,False,12,car,174.47249999999997,0.03211761953644033,66.04101145123796,-1463.3876458652867,1303.960902873482,car,0 days 00:49:38.068000
2024-10-19 18:07:24.527,0 days 00:49:38.428000,0 days 00:00:02.800000,11398,285,7,100,False,12,car,202.97249999999997,0.037364017431745035,286.7068447467542,-1631.827458722978,1302.6115038517949,car,0 days 00:49:38.428000
2024-10-19 18:07:24.887,0 days 00:49:38.788000,0 days 00:00:03.160000,11572,289,7,100,False,12,car,231.8725,0.042684048981720686,582.5933536632791,-1859.3877825542957,1301.9992827187727,car,0 days 00:49:38.788000
2024-10-19 18:07:25.087,0 days 00:49:38.988000,0 days 00:00:03.360000,11662,291,7,100,False,12,car,248.03916666666663,0.045660075858004634,676.3745679035736,-1930.2238212847433,1301.9684403080275,car,0 days 00:49:38.988000
2024-10-19 18:07:25.367,0 days 00:49:39.268000,0 days 00:00:03.640000,11736,296,7,100,False,12,car,271.06138888888887,0.0498981017601767,848.7895523711748,-2062.1995184876805,1302.1929188663469,car,0 days 00:49:39.268000
2024-10-19 18:07:25.567,0 days 00:49:39.468000,0 days 00:00:03.840000,11736,297,7,100,False,12,car,287.56138888888887,0.0529354900153531,1022.9301974381049,-2196.2398242098056,1303.5917406470257,car,0 days 00:49:39.468000
2024-10-19 18:07:25.727,0 days 00:49:39.628000,0 days 00:00:04,10756,301,8,100,False,12,car,300.93916666666667,0.055398126688236876,1142.0342622013957,-2287.104487413296,1306.1398734175373,car,0 days 00:49:39.628000
2024-10-19 18:07:26.007,0 days 00:49:39.908000,0 days 00:00:04.280000,10822,305,8,100,False,12,car,324.6613888888889,0.05976501148608309,1300.4434227430766,-2407.5489362921903,1310.3500296143097,car,0 days 00:49:39.908000
2024-10-19 18:07:26.207,0 days 00:49:40.108000,0 days 00:00:04.480000,10837,305,8,100,False,12,car,341.60583333333335,0.0628842149131161,1388.6970140627645,-2475.229610162653,1312.885656966221,car,0 days 00:49:40.108000
2024-10-19 18:07:26.447,0 days 00:49:40.348000,0 days 00:00:04.720000,10906,307,8,100,False,12,car,362.07249999999993,0.06665180357711269,1566.1326933861637,-2611.5734794879654,1323.8710572782481,car,0 days 00:49:40.348000
2024-10-19 18:07:26.727,0 days 00:49:40.628000,0 days 00:00:05,10952,309,8,100,False,12,car,386.1058333333333,0.07107595899525852,1778.1219415978878,-2772.8116850664073,1335.8114010841484,car,0 days 00:49:40.628000
2024-10-19 18:07:27.127,0 days 00:49:41.028000,0 days 00:00:05.400000,10982,310,8,100,False,12,car,420.55027777777775,0.0774166348141453,2022.809682555779,-2959.574540593866,1354.7266345048663,car,0 days 00:49:41.028000
2024-10-19 18:07:27.287,0 days 00:49:41.188000,0 days 00:00:05.560000,10974,310,8,100,False,12,car,434.32805555555547,0.07995290514169999,2210.2296768467213,-3106.1231077302727,1375.9187870595617,car,0 days 00:49:41.188000
2024-10-19 18:07:27.487,0 days 00:49:41.388000,0 days 00:00:05.760000,10934,308,8,0,False,8,car,451.4391666666666,0.08310278925817924,2412.5767450282433,-3264.621852719004,1400.069611532669,car,0 days 00:49:41.388000
2024-10-19 18:07:27.687,0 days 00:49:41.588000,0 days 00:00:05.960000,10740,306,8,0,False,8,car,468.4391666666666,0.08623221958169433,2484.1767312427564,-3320.0144632792867,1409.225867087968,car,0 days 00:49:41.588000
2024-10-19 18:07:28.007,0 days 00:49:41.908000,0 days 00:00:06.280000,10452,291,8,0,True,0,car,494.3058333333333,0.09099386258374866,2640.613848525514,-3439.8276949496926,1430.215462705227,car,0 days 00:49:41.908000
