Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-09-15 11:11:53.851,0 days 01:03:58.076000,0 days 00:00:00.064000,11590,327,8,100,False,0,car,5.884444444444444,0.0009897950744799297,1207,-532,-245,car,0 days 01:03:58.076000
2024-09-15 11:11:54.011,0 days 01:03:58.236000,0 days 00:00:00.224000,11576,327,8,100,False,0,car,20.41777777777778,0.0034343795862241677,1312,-488,-244,car,0 days 01:03:58.236000
2024-09-15 11:11:54.290,0 days 01:03:58.515000,0 days 00:00:00.503000,11606,327,8,100,False,0,car,45.76027777777778,0.007697123828578183,1497,-412,-243,car,0 days 01:03:58.515000
2024-09-15 11:11:54.450,0 days 01:03:58.675000,0 days 00:00:00.663000,11561,327,8,100,False,0,car,60.29361111111112,0.01014170834032242,1631,-355,-243,car,0 days 01:03:58.675000
2024-09-15 11:11:54.730,0 days 01:03:58.955000,0 days 00:00:00.943000,11545,327,8,100,False,0,car,85.72694444444444,0.014419731235874835,1868,-255,-242,car,0 days 01:03:58.955000
2024-09-15 11:11:55.210,0 days 01:03:59.435000,0 days 00:00:01.423000,11089,319,8,0,False,0,car,128.2602777777778,0.02157406572437403,2383,-40,-243,car,0 days 01:03:59.435000
2024-09-15 11:11:55.530,0 days 01:03:59.755000,0 days 00:00:01.743000,10628,312,8,0,True,0,car,155.99361111111114,0.026238960939445603,2632,63,-244,car,0 days 01:03:59.755000
2024-09-15 11:11:55.770,0 days 01:03:59.995000,0 days 00:00:01.983000,10264,270,8,0,True,0,car,173.99361111111114,0.029266657353073787,2735,108,-245,car,0 days 01:03:59.995000
2024-09-15 11:11:55.970,0 days 01:04:00.195000,0 days 00:00:02.183000,10013,258,8,0,True,0,car,188.32694444444445,0.031677600793555485,2831,151,-244,car,0 days 01:04:00.195000
2024-09-15 11:11:56.210,0 days 01:04:00.435000,0 days 00:00:02.423000,10081,238,8,0,True,0,car,204.19361111111112,0.03434645911371663,3002,222,-245,car,0 days 01:04:00.435000
2024-09-15 11:11:56.370,0 days 01:04:00.595000,0 days 00:00:02.583000,10905,206,8,0,True,0,car,213.3491666666667,0.03588647259817936,3124,269,-245,car,0 days 01:04:00.595000
2024-09-15 11:11:56.610,0 days 01:04:00.835000,0 days 00:00:02.823000,11122,198,8,0,True,0,car,226.54916666666668,0.03810678330150669,3271,320,-245,car,0 days 01:04:00.835000
2024-09-15 11:11:56.810,0 days 01:04:01.035000,0 days 00:00:03.023000,11892,180,6,0,True,0,car,236.54916666666668,0.03978883686463346,3355,350,-246,car,0 days 01:04:01.035000
2024-09-15 11:11:57.171,0 days 01:04:01.396000,0 days 00:00:03.384000,11682,161,3,0,True,0,car,252.6938888888889,0.042504465618591544,3444,391,-246,car,0 days 01:04:01.396000
2024-09-15 11:11:57.331,0 days 01:04:01.556000,0 days 00:00:03.544000,11597,141,3,0,True,0,car,258.9605555555556,0.04355855251815099,3500,423,-246,car,0 days 01:04:01.556000
2024-09-15 11:11:57.611,0 days 01:04:01.836000,0 days 00:00:03.824000,10142,115,2,0,True,0,car,267.90500000000003,0.045063055982947714,3590,493,-245,car,0 days 01:04:01.836000
2024-09-15 11:11:57.851,0 days 01:04:02.076000,0 days 00:00:04.064000,9147,107,2,0,True,0,car,275.03833333333336,0.04626292085797814,3641,548,-243,car,0 days 01:04:02.076000
2024-09-15 11:11:58.011,0 days 01:04:02.236000,0 days 00:00:04.224000,8329,100,2,0,True,0,car,279.4827777777778,0.04701050021936782,3657,571,-243,car,0 days 01:04:02.236000
2024-09-15 11:11:58.291,0 days 01:04:02.516000,0 days 00:00:04.504000,7362,88,2,0,True,0,car,286.32722222222225,0.04816177243590791,3685,623,-244,car,0 days 01:04:02.516000
