Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-06-08 20:14:06.888,0 days 00:27:57.975000,0 days 00:00:00.253000,10766,303,8,100,False,12,car,21.368611111111118,0.004933605370958036,3384,647,128,car,0 days 00:27:57.975000
2024-06-08 20:14:07.088,0 days 00:27:58.175000,0 days 00:00:00.453000,10853,304,8,100,False,12,car,38.25750000000001,0.00883292819069946,3394,500,128,car,0 days 00:27:58.175000
2024-06-08 20:14:07.408,0 days 00:27:58.495000,0 days 00:00:00.773000,10934,307,8,100,False,12,car,65.5463888888889,0.015133412957334287,3389,124,127,car,0 days 00:27:58.495000
2024-06-08 20:14:07.608,0 days 00:27:58.695000,0 days 00:00:00.973000,10947,308,8,100,False,12,car,82.6575,0.019084042656282833,3383,-14,128,car,0 days 00:27:58.695000
2024-06-08 20:14:07.889,0 days 00:27:58.976000,0 days 00:00:01.254000,10972,309,8,100,False,10,car,106.77666666666667,0.024652698924627046,3359,-231,129,car,0 days 00:27:58.976000
2024-06-08 20:14:08.249,0 days 00:27:59.336000,0 days 00:00:01.614000,10562,298,8,30,True,8,car,136.57666666666668,0.03153295142630237,3324,-541,130,car,0 days 00:27:59.336000
2024-06-08 20:14:08.489,0 days 00:27:59.576000,0 days 00:00:01.854000,10300,266,8,0,True,8,car,154.31,0.03562724038703086,3307,-675,131,car,0 days 00:27:59.576000
2024-06-08 20:14:08.649,0 days 00:27:59.736000,0 days 00:00:02.014000,10020,237,8,0,True,8,car,164.8433333333333,0.038059186461448534,3295,-800,132,car,0 days 00:27:59.736000
2024-06-08 20:14:08.809,0 days 00:27:59.896000,0 days 00:00:02.174000,9740,237,8,0,True,8,car,175.37666666666664,0.04049113253586621,3285,-927,132,car,0 days 00:27:59.896000
2024-06-08 20:14:08.969,0 days 00:28:00.056000,0 days 00:00:02.334000,10621,205,8,0,True,8,car,184.48777777777775,0.0425947145833583,3280,-1027,133,car,0 days 00:28:00.056000
2024-06-08 20:14:09.329,0 days 00:28:00.416000,0 days 00:00:02.694000,10123,180,6,0,True,8,car,202.48777777777775,0.04675057179913534,3285,-1174,134,car,0 days 00:28:00.416000
2024-06-08 20:14:09.529,0 days 00:28:00.616000,0 days 00:00:02.894000,9402,167,4,0,True,8,car,211.76555555555552,0.04889263400603277,3307,-1301,132,car,0 days 00:28:00.616000
2024-06-08 20:14:09.689,0 days 00:28:00.776000,0 days 00:00:03.054000,9402,158,4,0,True,8,car,218.78777777777773,0.05051393138897788,3334,-1376,132,car,0 days 00:28:00.776000
