Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-04-21 07:31:34.203,0 days 01:23:15.530000,0 days 00:00:00.028000,11680,259,6,100,False,0,car,2.2500000000000018,0.0004169520986897825,276,-1441,140,car,0 days 01:23:15.530000
2024-04-21 07:31:34.363,0 days 01:23:15.690000,0 days 00:00:00.188000,10980,260,6,100,False,0,car,13.805555555555557,0.0025583357166521206,166,-1467,139,car,0 days 01:23:15.690000
2024-04-21 07:31:34.603,0 days 01:23:15.930000,0 days 00:00:00.428000,10620,264,7,100,False,0,car,31.405555555555555,0.005819827688625527,2,-1508,139,car,0 days 01:23:15.930000
2024-04-21 07:31:34.763,0 days 01:23:16.090000,0 days 00:00:00.588000,10687,267,7,100,False,0,car,43.27222222222222,0.008018863942456081,-120,-1541,140,car,0 days 01:23:16.090000
2024-04-21 07:31:34.923,0 days 01:23:16.250000,0 days 00:00:00.748000,10757,270,7,100,False,0,car,55.27222222222222,0.010242608468801586,-270,-1578,140,car,0 days 01:23:16.250000
2024-04-21 07:31:35.203,0 days 01:23:16.530000,0 days 00:00:01.028000,10923,272,7,100,False,0,car,76.42777777777778,0.014162987707840328,-469,-1626,139,car,0 days 01:23:16.530000
2024-04-21 07:31:35.443,0 days 01:23:16.770000,0 days 00:00:01.268000,10972,273,7,100,False,0,car,94.62777777777778,0.017535666906131012,-602,-1657,139,car,0 days 01:23:16.770000
2024-04-21 07:31:35.723,0 days 01:23:17.050000,0 days 00:00:01.548000,11017,278,7,100,False,0,car,116.25,0.021542525098972077,-804,-1707,139,car,0 days 01:23:17.050000
2024-04-21 07:31:35.923,0 days 01:23:17.250000,0 days 00:00:01.748000,11102,280,7,100,False,0,car,131.80555555555554,0.024425156892382914,-967,-1746,138,car,0 days 01:23:17.250000
2024-04-21 07:31:36.163,0 days 01:23:17.490000,0 days 00:00:01.988000,11148,281,7,100,False,0,car,150.5388888888889,0.0278966691807334,-1171,-1797,139,car,0 days 01:23:17.490000
2024-04-21 07:31:36.483,0 days 01:23:17.810000,0 days 00:00:02.308000,11288,284,7,100,False,0,car,175.78333333333333,0.03257476877689728,-1369,-1846,139,car,0 days 01:23:17.810000
2024-04-21 07:31:36.803,0 days 01:23:18.130000,0 days 00:00:02.628000,11330,286,7,100,False,0,car,201.20555555555558,0.037285812736414424,-1701,-1928,138,car,0 days 01:23:18.130000
