Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-12-01 16:33:16.634,0 days 01:24:33.446000,0 days 00:00:00.237000,11116,280,7,100,False,0,car,18.53583333333333,0.0034510582645421372,-1151.2927848979987,-895.5521450522929,142.11244749524764,car,0 days 01:24:33.446000
2024-12-01 16:33:16.954,0 days 01:24:33.766000,0 days 00:00:00.557000,11178,283,7,100,False,0,car,43.691388888888895,0.008134596702656541,-1311.0780448782064,-606.1636241337911,141.16422313531405,car,0 days 01:24:33.766000
2024-12-01 16:33:17.114,0 days 01:24:33.926000,0 days 00:00:00.717000,11288,284,7,100,False,0,car,56.31361111111111,0.010484640724607936,-1374.4348064557676,-491.1505340593379,140.67006110118973,car,0 days 01:24:33.926000
2024-12-01 16:33:17.354,0 days 01:24:34.166000,0 days 00:00:00.957000,11295,286,7,100,False,0,car,75.38027777777778,0.014034531166217617,-1425.957803361214,-397.6614387111431,140.38745822288746,car,0 days 01:24:34.166000
2024-12-01 16:33:17.594,0 days 01:24:34.406000,0 days 00:00:01.197000,11326,288,7,100,False,0,car,94.58027777777778,0.017609246016509882,-1546.1994501644183,-179.8658066539099,139.40091015580185,car,0 days 01:24:34.406000
2024-12-01 16:33:17.754,0 days 01:24:34.566000,0 days 00:00:01.357000,11409,288,7,100,False,0,car,107.38027777777778,0.01999238925003806,-1624.3880790249668,-38.51808273983956,138.7133318019103,car,0 days 01:24:34.566000
2024-12-01 16:33:18.034,0 days 01:24:34.846000,0 days 00:00:01.637000,11412,290,7,100,False,0,car,129.93583333333333,0.024191851718842052,-1692.3779595339156,83.87286859229326,138.00752086767247,car,0 days 01:24:34.846000
2024-12-01 16:33:18.274,0 days 01:24:35.086000,0 days 00:00:01.877000,11479,290,7,100,False,0,car,149.26916666666668,0.027791390977816903,-1785.1056092954732,252.01633540307074,137.02686000728667,car,0 days 01:24:35.086000
2024-12-01 16:33:18.514,0 days 01:24:35.326000,0 days 00:00:02.117000,11541,292,7,100,False,0,car,168.73583333333335,0.03141575464547434,-1881.0700469976282,425.0899651027951,137.14246740575345,car,0 days 01:24:35.326000
2024-12-01 16:33:18.794,0 days 01:24:35.606000,0 days 00:00:02.397000,11521,293,7,100,False,0,car,191.5247222222222,0.035658659829472854,-1983.4862499611754,610.4005308399485,136.31002274422923,car,0 days 01:24:35.606000
2024-12-01 16:33:19.114,0 days 01:24:35.926000,0 days 00:00:02.717000,11426,294,7,100,False,0,car,217.65805555555556,0.04052424393125955,-2171.954392023012,952.2820389763724,135.9424189845012,car,0 days 01:24:35.926000
2024-12-01 16:33:19.354,0 days 01:24:36.166000,0 days 00:00:02.957000,10466,295,7,100,False,0,car,237.32472222222222,0.04418584421194086,-2239.856340371063,1076.031060725747,134.75593618064252,car,0 days 01:24:36.166000
2024-12-01 16:33:19.674,0 days 01:24:36.486000,0 days 00:00:03.277000,10485,295,7,100,False,0,car,263.5469444444445,0.049067977919515955,-2363.462742818606,1294.307310130965,133.88909845780756,car,0 days 01:24:36.486000
2024-12-01 16:33:19.994,0 days 01:24:36.806000,0 days 00:00:03.597000,10563,297,8,100,False,0,car,289.94694444444445,0.05398321083866781,-2503.469211980968,1539.844856270035,133.94334207610382,car,0 days 01:24:36.806000
2024-12-01 16:33:20.234,0 days 01:24:37.046000,0 days 00:00:03.837000,10583,298,8,100,False,0,car,309.81361111111113,0.057682047732373,-2556.859747988756,1634.0908882468798,133.4590105611201,car,0 days 01:24:37.046000
