Date_x,SessionTime_x,Time,RPM_x,Speed_x,nGear_x,Throttle_x,Brake_x,DRS_x,Source_x,Distance,RelativeDistance,X,Y,Z,Source_y,SessionTime_y
2024-10-20 20:22:24.497,0 days 02:15:46.899000,0 days 00:00:00.114000,11380,219,5,100,False,0,car,7.392777777777779,0.0013598568261961566,-1263.1583631589917,-442.8429639366643,1302.0000008340305,car,0 days 02:15:46.899000
2024-10-20 20:22:24.857,0 days 02:15:47.259000,0 days 00:00:00.474000,11725,227,5,100,False,0,car,30.092777777777776,0.005535384737699496,-1105.3558262214988,-567.0145051475312,1302.0000235667967,car,0 days 02:15:47.259000
2024-10-20 20:22:25.017,0 days 02:15:47.419000,0 days 00:00:00.634000,11918,233,5,100,False,0,car,40.44833333333333,0.0074402266434856505,-1037.5746535200728,-618.1392175092793,1302.0000709232313,car,0 days 02:15:47.419000
2024-10-20 20:22:25.177,0 days 02:15:47.579000,0 days 00:00:00.794000,11918,236,5,100,False,0,car,50.93722222222222,0.009369594410719695,-900.7454983253862,-722.419563167248,1301.999881515418,car,0 days 02:15:47.579000
2024-10-20 20:22:25.417,0 days 02:15:47.819000,0 days 00:00:01.034000,10993,241,6,100,False,0,car,67.00388888888888,0.012324960715190488,-741.0458960150717,-844.4919289170982,1302.0019293703353,car,0 days 02:15:47.819000
2024-10-20 20:22:25.617,0 days 02:15:48.019000,0 days 00:00:01.234000,11050,245,6,100,False,0,car,80.615,0.014828642404662633,-700.069205118176,-875.659535058456,1302.0003918196694,car,0 days 02:15:48.019000
2024-10-20 20:22:25.857,0 days 02:15:48.259000,0 days 00:00:01.474000,11182,249,6,100,False,0,car,97.215,0.017882112154924988,-570.5794295102739,-974.5024414452344,1301.998098105556,car,0 days 02:15:48.259000
2024-10-20 20:22:26.057,0 days 02:15:48.459000,0 days 00:00:01.674000,11288,250,6,100,False,0,car,111.10388888888889,0.020436889389080237,-466.16450052450637,-1054.1532198946832,1301.783119926913,car,0 days 02:15:48.459000
2024-10-20 20:22:26.297,0 days 02:15:48.699000,0 days 00:00:01.914000,11369,255,6,100,False,0,car,128.1038888888889,0.023563936723686264,-305.6686399265878,-1176.8477492440172,1302.7358301641268,car,0 days 02:15:48.699000
2024-10-20 20:22:26.497,0 days 02:15:48.899000,0 days 00:00:02.114000,10740,258,6,100,False,0,car,142.43722222222223,0.02620046682933448,-121.27309936360719,-1318.4981984356746,1305.6307408676437,car,0 days 02:15:48.899000
2024-10-20 20:22:26.657,0 days 02:15:49.059000,0 days 00:00:02.274000,10334,260,6,100,False,0,car,153.9927777777778,0.028326041488151654,-65.55705209448058,-1361.2409032191638,1305.1578595228773,car,0 days 02:15:49.059000
2024-10-20 20:22:26.816,0 days 02:15:49.218000,0 days 00:00:02.433000,10458,263,7,100,False,0,car,165.60861111111112,0.030462703880165053,-22.617386490488226,-1394.3095129514045,1304.1264807013983,car,0 days 02:15:49.218000
2024-10-20 20:22:27.016,0 days 02:15:49.418000,0 days 00:00:02.633000,10568,265,7,100,False,0,car,180.33083333333335,0.03317076774836962,85.6587394058864,-1477.8927336060774,1304.008023429582,car,0 days 02:15:49.418000
2024-10-20 20:22:27.256,0 days 02:15:49.658000,0 days 00:00:02.873000,10648,268,7,100,False,0,car,198.19750000000002,0.03645723318238693,225.5872927936195,-1584.88565028038,1303.134687161751,car,0 days 02:15:49.658000
2024-10-20 20:22:27.536,0 days 02:15:49.938000,0 days 00:00:03.153000,10779,271,7,100,False,0,car,219.27527777777777,0.04033436311294093,416.2734425648823,-1731.60381051004,1302.0191664702013,car,0 days 02:15:49.938000
2024-10-20 20:22:27.936,0 days 02:15:50.338000,0 days 00:00:03.553000,10957,276,7,100,False,0,car,249.94194444444443,0.045975311245955726,631.7454814108894,-1895.7196654952882,1301.9887365980073,car,0 days 02:15:50.338000
